id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Panel type;Processor series;Processor model;Number of processor cores;Cache processor [MB];Core boost frequency [GHz];Max TDP [W];Size of operational RAM [GB];Memory type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];SSD capacity [GB];Internal interface;USB-C charging;Charging connector;Colour;Weight [kg];USB 3.2 Gen 2;USB-C;Graphical output ports;Width [mm];Maximum height [mm];Depth [mm];Height [mm];Package includes;Assembly type;Basic equipment;PSU [W];PC series;Processor frequency [GHz];Processor cache [MB];CPU features;Graphics card memory [GB];Number of stream processors;Special graphics card features;Socket;Slots for additional cards;"Number of occupied slots 2.5""";"Slots in total 2.5""";"Number of occupied slots 3.5""";"Slots in total 3.5""";Number of occupied slots M.2;Slots in total M.2;Wardrobe size;Front panel location;Sidewalls;Side panel material;Memory frequency [MHz];Maximum RAM capacity [GB];Total number of slots;Number of installed slots;USB 2.0;USB 3.2 Gen 1 (USB 3.0);Other;Optical drive;Country;Extended warranty;USB 3.2 Gen 2x2;Maximum Graphic Power (TGP) [W];Basic accessories;Certification;WiFi type;GPU Passmark;CPU Passmark;Number of free slots;LHR (Lite Hash Rate);HDD RPM Rate [RPM];HDD capacity [GB];"Disk size [""]"
246;Lenovo IdeaCentre AIO 3 24ALC6 Black (záruka na 3 roky po registraci);15990;13215;;;In stock > 5 pcs;23.8;1920 × 1080 px;IPS;AMD Ryzen 3;AMD Ryzen 3 7330U;4.0;;4.3;15.0;8.0;DDR4;AMD Radeon;Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;;;HDMI;541.0;;185.34;433.56;['Power adapter'];['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];90.0;Lenovo IdeaCentre;2.3;8.0;['Automatic Overclocking', 'Virtualization Support'];;;;AMD FP6;;0.0;1.0;;;1.0;2.0;All In One;;;;3200.0;16.0;2.0;2.0;2.0;2.0;['RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];['Windows 11 compatible'];;;;;;;;
247;Lenovo IdeaCentre 5 24IOB6 Graphite Grey (záruka na 3 roky po registraci);19990;16521;;;In stock 4 pcs;23.8;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 11400T Rocket Lake;6.0;;3.7;35.0;12.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;3.0;;HDMI;541.2;;185.0;437.79;;['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];120.0;Lenovo IdeaCentre;1.3;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['M.2'];1.0;2.0;;;1.0;1.0;All In One;;;;3200.0;16.0;2.0;2.0;2.0;;['Combo Audio Jack', 'WAN/LAN'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;;1.0;;;;
248;Dell Inspiron 3020;12790;10570;;;In stock > 5 pcs at the partner's;;;;Intel Core i3;Intel Core i3 13100 Raptor Lake;4.0;;4.5;89.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Home'];['SSD'];256.0;256.0;['M.2 (PCIe 3.0 2x NVMe)'];;;;;;1.0;HDMI, DisplayPort;154.0;;292.8;324.3;;['Office'];['Bluetooth', 'Wi-Fi'];300.0;Dell Inspiron;3.4;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['PCI Express x1', 'PCI Express x16'];0.0;1.0;;;1.0;1.0;Mini Tower;Front;Opaque;;3200.0;64.0;2.0;1.0;4.0;3.0;['Combo Audio Jack', 'Audio output (Line out)', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
249;HP Pro 400 G9 Black záruka 3 roky ON-SITE;16490;13628;;;In stock > 5 pcs;;;;Intel Core i3;Intel Core i3 12100 Alder Lake;4.0;;4.3;89.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Pro'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;3.0;1.0;HDMI, DisplayPort;155.0;;308.0;337.0;['Mouse', 'Keyboard'];['Performance'];;;;3.3;12.0;['Automatic Overclocking', 'Virtualization Support'];;;;;['PCI', 'PCI Express x1', 'PCI Express x16', 'M.2'];;;;2.0;1.0;;Big Tower;Front;Opaque;;3200.0;64.0;2.0;1.0;2.0;3.0;['Combo Audio Jack', 'USB-C', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;1.0;;['Mouse', 'Keyboard'];;;;;;;;;
250;HP Pro 290 G9 Jet Black;11990;9909;;;In stock 3 pcs at the partner's;;;;Intel Pentium;Intel Pentium Gold G7400;2.0;;;46.0;8.0;DDR4;Intel;UHD Graphics 710;['Windows 11 Pro'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;;0.0;VGA D-SUB, HDMI;155.0;;303.0;337.0;['Mouse', 'Keyboard', 'Power cable'];['Office'];;180.0;;3.7;6.0;['Virtualization Support'];;;;;['M.2'];;;0.0;2.0;1.0;1.0;Big Tower;Front;Opaque;;2933.0;64.0;2.0;1.0;4.0;4.0;['Combo Audio Jack', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard'];['Windows 11 compatible'];;;;;;;;
251;Acer Veriton VS2690G;15990;13215;;;Last 2 pieces in stock;;;;Intel Core i5;Intel Core i5 12400 Alder Lake;6.0;;4.4;65.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Pro'];['SSD'];512.0;512.0;;;;;;2.0;;VGA D-SUB, HDMI, DisplayPort;160.0;;350.0;309.25;['Mouse', 'Keyboard'];['Office'];['Bluetooth', 'Wi-Fi'];300.0;Acer Veriton;2.5;18.0;['Automatic Overclocking'];;;;;['PCI', 'PCI Express x1', 'PCI Express x16'];;;;1.0;1.0;1.0;Mini Tower;Front;Opaque;;;;2.0;1.0;4.0;2.0;['Audio input (Line in)', 'Audio output (Line out)'];DVD;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;19536.0;;;;;
252;HP Slim S01-pF2012nc Black;12990;10736;;;In stock 5 pcs;;;;Intel Core i3;Intel Core i3 12100 Alder Lake;4.0;;4.3;89.0;8.0;DDR4;Intel;UHD Graphics 730;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;1.0;;VGA D-SUB, HDMI;95.0;;303.0;270.0;['Mouse', 'Keyboard'];['Office'];['Bluetooth', 'Wi-Fi'];180.0;HP Slim;3.3;12.0;['Virtualization Support'];;;;;['M.2'];;;;1.0;1.0;;Mini Tower;Front;Opaque;;2933.0;;2.0;1.0;4.0;4.0;['Combo Audio Jack', 'Kensington lock', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;1.0;;['Mouse', 'Keyboard'];;;;;;;;;
253;Lenovo ThinkCentre M60e;15590;12884;;;In stock 2 pcs at the partner's;;;;Intel Core i5;Intel Core i5 1035G1 Ice Lake;4.0;6.0;3.6;25.0;8.0;DDR4;Intel;UHD Graphics;['Windows 11 Pro'];['SSD'];256.0;256.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;1.0;1.0;HDMI, DisplayPort;179.0;;182.9;36.5;;['Office'];['Bluetooth', 'Wi-Fi', 'Speakers'];65.0;Lenovo ThinkCentre;1.0;;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['M.2'];0.0;1.0;0.0;0.0;1.0;1.0;Mini Tower;Front;Opaque;;2666.0;32.0;2.0;1.0;2.0;2.0;['Combo Audio Jack', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;['WiFi 802.11ax'];;;;;;;
254;HP M01-F2051nc Black;10990;9083;;;In stock > 5 pcs;;;;Intel Core i3;Intel Core i3 12100 Alder Lake;4.0;;4.3;89.0;8.0;DDR4;Intel;UHD Graphics 730;['Without Operating System'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;;;VGA D-SUB, HDMI;155.4;;303.0;337.4;['Mouse', 'Keyboard'];['Office'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];310.0;;3.3;12.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading'];;;;;['PCI Express x1', 'PCI Express x16', 'M.2'];;;;;;;Mini Tower;Front;Opaque;;2933.0;;2.0;1.0;4.0;4.0;['Combo Audio Jack', 'Kensington lock', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard'];;['WiFi a/b/g/n/ac'];;14364.0;;;;;
255;Alza TopOffice i3 Alder;11990;9909;;;In stock > 5 pcs;;;;Intel Core i3;Intel Core i3 12100 Alder Lake;4.0;;4.3;89.0;16.0;DDR4;Intel;UHD Graphics 730;['Without Operating System'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;;VGA D-SUB, HDMI, DisplayPort;175.0;;410.0;358.0;;['Office'];['Bluetooth', 'Wi-Fi'];500.0;Alza TopOffice;3.3;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;Intel LGA1700;;;;;;1.0;;Midi Tower;Front;Opaque;Steel;3200.0;;2.0;2.0;4.0;2.0;;Without Optical Drive;;;;;;['Windows 11 compatible'];;;;;;;;
256;Intel NUC 12 Pro Kit Slim (RNUC12WSKi50002);11190;9248;;;In stock > 5 pcs;;;;Intel Core i5;Intel Core i5 1240P;12.0;;4.4;64.0;;no RAM;Intel;Iris Xe Graphics;['Without Operating System'];['no storage'];;;['M.2 (NVMe)'];;;;;3.0;2.0;HDMI, USB-C, Thunderbolt 4;117.0;;112.0;37.0;['Power cable'];['Mini PC'];['Bluetooth', 'Wi-Fi'];;Intel NUC;3.3;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;Integrated CPU;['M.2'];;;;;;2.0;Desktop;Front;Opaque;Plastic;;64.0;2.0;;1.0;;['RJ-45 (LAN) 2.5Gbps', 'Jack', 'Thunderbolt 4'];Without Optical Drive;;;;;;['Windows 11 compatible'];;;;2.0;;;;
257;ASUS ExpertCenter PN42 (SN063AV);7449;6156;;;In stock 3 pcs;;;;Intel N;Intel Processor N100;4.0;;3.4;6.0;4.0;DDR4;Intel;UHD Graphics;['Windows 11 Pro'];['SSD'];128.0;128.0;;;;;;2.0;;VGA D-SUB, HDMI 2.0b, DisplayPort 1.4;127.5;;132.0;57.6;;['Mini PC'];['Bluetooth', 'Wi-Fi'];;;;6.0;['Automatic Overclocking', 'Virtualization Support'];;24000.0;;Integrated CPU;['M.2', 'SATA III'];;;;;;;Desktop;;;;3200.0;;1.0;1.0;3.0;2.0;['RJ-45 (LAN) 2.5Gbps', 'Jack'];Without Optical Drive;;;;;;;;;;;;;;
258;HP Pavilion 24-ca0000nc White;21990;18174;;;In stock > 5 pcs at the partner's;23.8;1920 × 1080 px;IPS;AMD Ryzen 5;AMD Ryzen 5 5500U;6.0;;4.0;15.0;16.0;DDR4;AMD Radeon;Graphics;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (PCIe 3.0 2x NVMe)'];;;;;;1.0;HDMI;540.2;;171.2;427.8;['Mouse', 'Keyboard', 'PC'];['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];120.0;;2.1;8.0;['Automatic Overclocking'];;;;;;;;;;;;All In One;;;;3200.0;16.0;2.0;2.0;2.0;2.0;['Combo Audio Jack', 'LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard'];['Windows 11 compatible'];['WiFi 802.11ax'];;;;;;;
259;ASUS ROG Strix GA15 Black;34990;28917;;;In stock > 5 pcs;;;;AMD Ryzen 5;AMD Ryzen 5 5600X;6.0;;4.6;65.0;16.0;DDR4;NVIDIA GeForce;RTX 3070;['Windows 11 Home'];['SSD', 'HDD'];1512.0;512.0;['M.2 (NVMe)'];;;;;;1.0;;185.0;;421.0;498.0;;['Gaming'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];700.0;ASUS ROG;3.7;35.0;['Automatic Overclocking', 'Virtualization Support', 'Multi Threading'];8.0;;GeForce VR-Ready;;;;;;;;;Desktop;Top;Transparent;;;64.0;4.0;2.0;;5.0;['LAN', 'PS2', 'Headphone/Speaker output', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.0;;;;;;;;Yes;7200.0;1024.0;
260;ASUS ROG Strix GA35 G35DX-CZ002D Star Black;37990;31397;;;In stock > 5 pcs;;;;AMD Ryzen 7;AMD Ryzen 7 5800X;8.0;;4.7;105.0;32.0;DDR4;NVIDIA GeForce;RTX 3080;['Without Operating System'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;3.0;3.0;HDMI, DisplayPort;279.0;;501.0;433.0;;['Gaming'];['Bluetooth', 'Water cooling', 'RGB backlight', 'Wi-Fi'];750.0;ASUS ROG;3.8;36.0;['Automatic Overclocking'];10.0;;GeForce VR-Ready;;['PCI Express x1', 'PCI Express x16', 'M.2'];0.0;0.0;0.0;2.0;1.0;2.0;Desktop;Front;Transparent;;3200.0;128.0;4.0;2.0;0.0;6.0;['S/PDIF optical output', 'Microphone input', 'Headphone/Speaker output', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];0.0;;;;;;;2.0;;;;
261;Lenovo IdeaCentre Gaming 5 17IAB7 (záruka na 3 roky po registraci);19990;16521;;;In stock > 5 pcs;;;;Intel Core i5;Intel Core i5 12400F Alder Lake;6.0;;4.4;117.0;16.0;DDR4;NVIDIA GeForce;GTX 1660 SUPER;['Windows 11 Home'];['SSD'];512.0;512.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;1.0;1.0;VGA D-SUB, HDMI 2.0b;170.0;;304.0;376.0;;['Gaming'];['Wi-Fi'];310.0;Lenovo IdeaCentre;2.5;18.0;['Automatic Overclocking', 'HyperThreading', 'No graphics chip'];6.0;;GeForce VR-Ready;Intel LGA1700;['PCI Express x4', 'PCI Express x16', 'M.2'];;;;;;;Micro Tower;Front;Opaque;;3200.0;32.0;2.0;2.0;4.0;1.0;;Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;;;['WiFi 802.11 ac'];;;;;;;
262;HP ProOne 440 G9 Black záruka 3 roky ON-SITE;24490;20240;;;In stock 1 pcs at the partner's;23.8;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 12500T Alder Lake;6.0;;4.4;74.0;16.0;DDR4;Intel;UHD Graphics 770;['Windows 10 Pro'];['SSD'];512.0;512.0;['M.2 (NVMe)'];;;;;3.0;1.0;HDMI, DisplayPort;539.3;;225.0;379.4;['Mouse', 'Keyboard', 'Power cable'];['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Webcam', 'Wi-Fi'];150.0;HP ProOne;2.0;18.0;['Virtualization Support'];;;;;['M.2'];;;;;1.0;;All In One;Side;Opaque;;3200.0;64.0;2.0;1.0;1.0;2.0;['USB-C', 'Microphone input', 'Headphone input', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard', 'Webcam'];;;;;;;;;
263;Lenovo IdeaCentre 3 24ITL6 White (záruka na 3 roky po registraci);14990;12388;;;In stock > 5 pcs;23.8;1920 × 1080 px;IPS;Intel Core i3;Intel Core i3 1115G4 Tiger Lake;2.0;;4.1;28.0;8.0;DDR4;Intel;UHD Graphics;['Windows 11 Home'];['SSD'];256.0;256.0;['M.2 (NVMe)'];;;;;2.0;;HDMI;541.0;;185.34;433.56;;['All-in-one PC'];['Bluetooth', 'Webcam', 'Wi-Fi', 'Speakers'];90.0;Lenovo IdeaCentre;3.0;6.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;;;;;;;;All In One;;;;3200.0;16.0;2.0;2.0;2.0;;['Combo Audio Jack', 'WAN/LAN'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;;1.0;;;;
264;Dell Vostro 3020 SFF;24990;20653;;;In stock > 5 pcs at the partner's;;;;Intel Core i7;Intel Core i7 13700 Raptor Lake;16.0;;5.2;219.0;16.0;DDR4;Intel;UHD Graphics 770;['Windows 11 Pro'];['SSD'];512.0;512.0;['M.2 (PCIe 3.0 2x NVMe)'];;;;;;;HDMI, DisplayPort;92.6;;292.86;290.0;;['Office'];['Bluetooth', 'Wi-Fi'];180.0;Dell Vostro;2.1;24.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;;['PCI Express x1', 'PCI Express x16'];0.0;1.0;;;1.0;1.0;Mini Tower;Front;Opaque;;3200.0;64.0;2.0;1.0;4.0;4.0;['Combo Audio Jack', 'Audio output (Line out)', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;['Mouse', 'Keyboard'];;;;;;;;;
265;Alza TopOffice i7 Alder;16990;14041;;;In stock > 5 pcs;;;;Intel Core i7;Intel Core i7 12700 Alder Lake;12.0;;4.9;180.0;16.0;DDR4;Intel;UHD Graphics 770;['Without Operating System'];['SSD'];1000.0;1000.0;['M.2 (PCIe 3.0 4x NVMe)'];;;;;;;VGA D-SUB, HDMI, DisplayPort;175.0;;410.0;358.0;;['Office'];['Bluetooth', 'Wi-Fi'];500.0;Alza TopOffice;2.1;25.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;Intel LGA1700;;;;;;1.0;;Midi Tower;Front;Opaque;Steel;3200.0;;2.0;2.0;4.0;2.0;;Without Optical Drive;;;;;;['Windows 11 compatible'];;;;;;;;
266;Acer Aspire TC-1760;19290;15942;;;In stock 1 pcs;;;;Intel Core i5;Intel Core i5 12400F Alder Lake;6.0;;4.4;65.0;8.0;DDR4;NVIDIA GeForce;GTX 1650;['Windows 11 Home'];['SSD'];512.0;512.0;;;;;;2.0;1.0;DVI, HDMI;163.0;;350.0;340.0;;['Gaming'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];300.0;Acer Aspire;2.5;18.0;['Automatic Overclocking'];4.0;;;;['PCI Express x1', 'PCI Express x16'];;;;;;;Mini Tower;Front;Opaque;;;;2.0;1.0;4.0;;['RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard'];;;;;;;;;
267;Mac mini M2 2023;35490;29331;;;In stock 1 pcs;;;;Apple Silicon;Apple M2 (8-core);8.0;;;;16.0;;Apple;M2 10-core GPU;['macOS'];['SSD'];1000.0;1000.0;;;;;;;2.0;HDMI, USB-C, Thunderbolt 4;197.0;;197.0;35.8;['Power cable'];['Mini PC'];['Bluetooth', 'Wi-Fi'];;Apple Mac Mini;;;;;;;;;;;;;;;Micro Tower;;;;;;;;;2.0;['Headphone input', 'RJ-45 (LAN)'];Without Optical Drive;;;2.0;;;;['WiFi W‑Fi 6E'];;;;;;;
268;HP Z4 G4 záruka 3 roky ON-SITE;44990;37182;;;In stock;;;;Intel Core i9;Intel Core i9 10920X Cascade Lake;12.0;;4.6;165.0;32.0;DDR4;Without graphics card;Without graphics card;['Windows 11 Pro'];['SSD'];1000.0;1000.0;['M.2 (NVMe)'];;;;;;2.0;;386.0;;169.0;445.0;['Mouse', 'Keyboard'];['Performance'];['Memory Card Reader'];1000.0;HP Z;3.5;19.25;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];;;;Intel 2066;['PCI Express x4', 'PCI Express x8', 'PCI Express x16'];;;0.0;2.0;1.0;1.0;Mini Tower;Front;Opaque;;2933.0;0.0;8.0;2.0;;7.0;['PS2', 'Audio input (Line in)', 'Audio output (Line out)', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;['Mouse', 'Keyboard'];['Windows 11 compatible'];;;;;;;;
269;Lenovo Legion T7 34IRZ8 (záruka 3 roky Premium Care On-Site);122690;101397;;;In stock 2 pcs at the partner's;;;;Intel Core i9;Intel Core i9 13900KF Raptor Lake;24.0;;5.4;125.0;64.0;DDR5;NVIDIA GeForce;RTX 4090;['Windows 11 Home'];['SSD'];4000.0;4000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;1.0;1.0;HDMI, DisplayPort;211.0;;464.0;494.0;;['Gaming'];['Bluetooth', 'Water cooling', 'RGB backlight', 'Wi-Fi'];1200.0;Lenovo Legion;2.2;36.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];24.0;;;;['PCI Express x1', 'PCI Express x16'];0.0;2.0;0.0;2.0;2.0;3.0;Big Tower;Top;Transparent;;5600.0;64.0;4.0;4.0;4.0;6.0;['Audio Jack 3.5mm', 'RJ-45 (LAN) 2.5Gbps', 'S/PDIF optical output', 'Microphone input'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['On-site'];;;;;;;;;;;;
270;HP Z1 G9 Tower;31890;26355;;;In stock 3 pcs;;;;Intel Core i7;Intel Core i7 13700 Raptor Lake;16.0;;5.2;;16.0;DDR5;NVIDIA;NVIDIA T400;['Windows 11 Pro'];['SSD'];512.0;512.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;6.0;1.0;HDMI, DisplayPort, miniDisplayPort;337.0;;308.0;155.0;['Mouse', 'Keyboard'];['Performance'];['Memory Card Reader'];550.0;HP Z;2.1;30.0;;4.0;;;;['PCI Express x16', 'M.2'];;;;2.0;1.0;2.0;Big Tower;Front;Opaque;;4800.0;128.0;4.0;2.0;3.0;1.0;['RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;1.0;;['Mouse', 'Keyboard'];;;;;;;;;
271;ASUS ROG Strix G10CE 27L Gray;38990;32223;2.3;3.0;In stock 1 pcs;;;;Intel Core i7;Intel Core i7 11700 Rocket Lake;8.0;;4.9;65.0;16.0;DDR4;NVIDIA GeForce;RTX 3060 Ti;['Windows 11 Home'];['SSD', 'HDD'];2000.0;1000.0;['M.2 (NVMe)'];;;;;;;HDMI, DisplayPort;180.0;;430.0;428.0;;['Gaming'];['Bluetooth', 'Memory Card Reader', 'Wi-Fi'];500.0;ASUS ROG;2.5;16.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;;GeForce VR-Ready;;;;;;;;;Big Tower;Top;Transparent;;;64.0;4.0;2.0;2.0;4.0;['Combo Audio Jack', 'LAN', 'PS2', 'Headphone/Speaker output', 'RJ-45 (LAN) 1Gbps'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;7200.0;1024.0;
272;ASUS ROG Strix GA35 G35DX-CZ005W Star Black;54990;45446;;;In stock 2 pcs;;;;AMD Ryzen 9;AMD Ryzen 9 5900X;12.0;;4.8;105.0;32.0;DDR4;NVIDIA GeForce;RTX 3080;['Windows 11 Home'];['SSD', 'HDD'];3000.0;1000.0;['M.2 (PCIe 4.0 4x NVMe)'];;;;;3.0;3.0;HDMI, DisplayPort;279.0;;501.0;433.0;;['Gaming'];['Bluetooth', 'Water cooling', 'RGB backlight', 'Wi-Fi'];750.0;ASUS ROG;3.7;70.0;['Automatic Overclocking'];10.0;;GeForce VR-Ready;;['PCI Express x1', 'PCI Express x16', 'M.2'];0.0;0.0;1.0;2.0;1.0;2.0;Desktop;Front;Transparent;;3200.0;128.0;4.0;2.0;0.0;6.0;['S/PDIF optical output', 'Microphone input', 'Headphone/Speaker output', 'RJ-45 (LAN)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['Extended Warranty'];0.0;;;;;;;2.0;;7200.0;2048.0;
273;Acer Aspire C27-1700;23990;19826;;;In stock > 5 pcs;27.0;1920 × 1080 px;IPS;Intel Core i5;Intel Core i5 1235U Alder Lake;10.0;;4.4;15.0;8.0;DDR4;Intel;Iris Xe Graphics;['Windows 11 Pro'];['SSD'];512.0;512.0;['M.2 (SATA)'];;;;;1.0;1.0;HDMI;612.5;;37.3;445.5;;['All-in-one PC'];['Bluetooth', 'Memory Card Reader', 'Webcam', 'Wi-Fi', 'Speakers'];65.0;;3.2;12.0;['Automatic Overclocking', 'HyperThreading'];;;;;['M.2'];;;;;;;All In One;;;;;32.0;2.0;1.0;1.0;2.0;['RJ-45 (LAN) 2.5Gbps', 'Microphone input', 'Headphone/Speaker output', 'Audio input (Line in)', 'Audio output (Line out)'];Without Optical Drive;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];['No extended warranty'];;;['Mouse', 'Keyboard'];;;;;;;;;
