attribute;value;rating;rating_count
Wireless technology;['WiFi', 'Bluetooth', 'GPS', 'Infraport'];4.6;15.0
Wireless technology;['WiFi', 'Bluetooth', 'GPS'];4.519007092198581;705.0
Wireless technology;['WiFi', 'Bluetooth'];4.646275752773376;1262.0
Wireless technology;['WiFi', 'GPS', 'GLONASS'];5.0;1.0
Wireless technology;['WiFi', 'GPS'];4.545454545454546;11.0
Tablet connectors;['Headphone output (3.5mm jack)'];;0.0
Tablet connectors;['Lightning', 'Headphone output (3.5mm jack)'];4.876158940397351;302.0
Tablet connectors;['USB-C', 'Docking connector', 'USB-C 3.2'];;0.0
Tablet connectors;['USB-C', 'Docking connector'];4.208;25.0
Tablet connectors;['USB-C', 'Headphone output (3.5mm jack)'];4.386454849498327;598.0
Tablet connectors;['USB-C', 'USB 2.0'];;0.0
Tablet connectors;['USB-C'];4.659936153232242;1253.0
Tablet connectors;['micro USB 2.0', 'Headphone output (3.5mm jack)'];4.1;7.0
Tablet connectors;['micro USB 2.0'];3.3863636363636362;22.0
Sensors;['Digital compass', 'Gyroscope', 'G-sensor'];;0.0
Sensors;['Digital compass', 'Gyroscope', 'Light sensor', 'G-sensor'];;0.0
Sensors;['Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor', 'Fingerprint reader'];4.25;4.0
Sensors;['Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor', 'TOF senzor'];;0.0
Sensors;['Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor'];4.2;21.0
Sensors;['Digital compass', 'Gyroscope', 'Light sensor'];4.566666666666666;159.0
Sensors;['Digital compass', 'Light sensor', 'G-sensor', 'Fingerprint reader'];4.5;11.0
Sensors;['Digital compass', 'Light sensor', 'G-sensor'];4.0;14.0
Sensors;['Fingerprint reader'];;0.0
Sensors;['G-sensor'];4.109615384615385;104.0
Sensors;['Gyroscope', 'G-sensor'];4.466666666666667;33.0
Sensors;['Gyroscope', 'Light sensor', 'Barometer'];4.9270588235294115;85.0
Sensors;['Gyroscope', 'Light sensor', 'G-sensor'];4.548387096774194;31.0
Sensors;['Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor'];4.437777777777778;45.0
Sensors;['Gyroscope', 'Light sensor', 'Proximity sensor'];3.7000000000000006;3.0
Sensors;['Gyroscope', 'Light sensor'];5.0;3.0
Sensors;['Gyroscope'];4.557738095238095;168.0
Sensors;['Light sensor', 'G-sensor'];4.496363636363637;110.0
Sensors;['Light sensor', 'Proximity sensor', 'G-sensor'];4.654794520547944;73.0
Sensors;['Light sensor'];3.933333333333333;9.0
Sensors;['Motion sensor', 'Digital compass', 'Gyroscope', 'G-sensor'];;0.0
Sensors;['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'Fingerprint reader'];4.924324324324324;37.0
Sensors;['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'G-sensor'];;0.0
Sensors;['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'Barometer', 'G-sensor'];;0.0
Sensors;['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor', 'Fingerprint reader'];;0.0
Sensors;['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor'];3.7047619047619045;21.0
Sensors;['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];4.860621761658031;193.0
Sensors;['Motion sensor', 'Digital compass', 'Gyroscope', 'Proximity sensor'];;0.0
Sensors;['Motion sensor', 'Digital compass', 'Gyroscope'];4.1684210526315795;38.0
Sensors;['Motion sensor', 'Digital compass', 'Light sensor'];4.4;5.0
Sensors;['Motion sensor', 'G-sensor'];4.0;26.0
Sensors;['Motion sensor', 'Gyroscope', 'Light sensor', 'Barometer'];4.911170212765957;188.0
Sensors;['Motion sensor', 'Gyroscope', 'Light sensor', 'G-sensor', 'Fingerprint reader'];4.642857142857143;14.0
Sensors;['Motion sensor', 'Gyroscope', 'Light sensor', 'G-sensor'];4.461538461538462;13.0
Sensors;['Motion sensor', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'Fingerprint reader'];3.0;1.0
Sensors;['Motion sensor', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor'];4.5804347826086955;46.0
Sensors;['Motion sensor', 'Gyroscope', 'Light sensor', 'Proximity sensor'];4.5;2.0
Sensors;['Motion sensor', 'Gyroscope', 'Light sensor'];4.468965517241379;29.0
Sensors;['Motion sensor', 'Gyroscope'];4.844827586206897;435.0
Sensors;['Motion sensor', 'Light sensor', 'Fingerprint reader'];;0.0
Sensors;['Motion sensor', 'Light sensor', 'G-sensor'];;0.0
Sensors;['Motion sensor', 'Light sensor', 'Proximity sensor', 'G-sensor'];4.630645161290323;62.0
Sensors;['Motion sensor', 'Light sensor', 'Proximity sensor'];4.394;50.0
Sensors;['Motion sensor', 'Light sensor'];4.423809523809524;42.0
Sensors;['Motion sensor'];4.167123287671233;73.0
Sensors;['Proximity sensor', 'G-sensor'];;0.0
Main (rear) camera resolution [Mpx];2.0;3.37906976744186;43.0
Main (rear) camera resolution [Mpx];5.0;4.1327510917030565;229.0
Main (rear) camera resolution [Mpx];8.0;4.664057672502575;971.0
Main (rear) camera resolution [Mpx];12.0;4.902386634844868;419.0
Main (rear) camera resolution [Mpx];13.0;4.565447154471545;492.0
Main (rear) camera resolution [Mpx];16.0;4.017391304347826;23.0
Main (rear) camera resolution [Mpx];20.0;4.533333333333333;24.0
Main (rear) camera resolution [Mpx];48.0;;0.0
Front-facing (selfie) camera resolution [Mpx];0.3;3.0999999999999996;18.0
Front-facing (selfie) camera resolution [Mpx];1.2;5.0;2.0
Front-facing (selfie) camera resolution [Mpx];2.0;4.263517060367454;381.0
Front-facing (selfie) camera resolution [Mpx];3.0;3.8;5.0
Front-facing (selfie) camera resolution [Mpx];5.0;4.606206896551725;435.0
Front-facing (selfie) camera resolution [Mpx];7.0;5.0;14.0
Front-facing (selfie) camera resolution [Mpx];8.0;4.483090909090909;550.0
Front-facing (selfie) camera resolution [Mpx];10.0;;0.0
Front-facing (selfie) camera resolution [Mpx];12.0;4.881223922114047;719.0
Front-facing (selfie) camera resolution [Mpx];13.0;;0.0
Front-facing (selfie) camera resolution [Mpx];16.0;4.083333333333333;12.0
Front-facing (selfie) camera resolution [Mpx];32.0;;0.0
Maximum video resolution;1080 × 540 px;3.0;2.0
Maximum video resolution;1280 × 720 px;3.0;1.0
Maximum video resolution;1560 × 720 px;4.0;1.0
Maximum video resolution;1600 × 1200 px;2.0;1.0
Maximum video resolution;1800 × 2880 px;4.8;70.0
Maximum video resolution;1920 × 1080 px;4.60392506690455;1121.0
Maximum video resolution;2048 × 1080 px;4.739130434782608;23.0
Maximum video resolution;2560 × 1440 px;;0.0
Maximum video resolution;3840 × 2160 px;4.896275071633237;349.0
Maximum video resolution;640 × 480 px;3.875;8.0
Maximum video resolution;720 × 480 px;4.5;2.0
Supported resolutions and frame rates (FPS);['1080p (Full HD) 30fps', '720p (HD) 120fps'];4.852209944751381;362.0
Supported resolutions and frame rates (FPS);['1080p (Full HD) 30fps', '720p (HD) 30fps', '480p (VGA)'];4.4;5.0
Supported resolutions and frame rates (FPS);['1080p (Full HD) 30fps', '720p (HD) 30fps'];4.1987499999999995;80.0
Supported resolutions and frame rates (FPS);['1080p (Full HD) 30fps'];4.567775831873905;571.0
Supported resolutions and frame rates (FPS);['1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '720p (HD) 30fps'];;0.0
Supported resolutions and frame rates (FPS);['1080p (Full HD) 60fps'];4.2;97.0
Supported resolutions and frame rates (FPS);['2160p (4K) 30fps', '1080p (Full HD) 30fps'];;0.0
Supported resolutions and frame rates (FPS);['2160p (4K) 30fps', '1080p (Full HD) 60fps'];4.8;70.0
Supported resolutions and frame rates (FPS);['2160p (4K) 30fps'];4.7727272727272725;22.0
Supported resolutions and frame rates (FPS);['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 30fps'];4.859322033898305;59.0
Supported resolutions and frame rates (FPS);['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps', '720p (HD) 30fps'];4.889285714285714;56.0
Supported resolutions and frame rates (FPS);['2160p (4K) 60fps', '2160p (4K) 30fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];;0.0
Supported resolutions and frame rates (FPS);['240p (QVGA)'];4.5;2.0
Supported resolutions and frame rates (FPS);['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];4.924090909090909;220.0
Supported resolutions and frame rates (FPS);['480p (VGA)', '240p (QVGA)'];3.875;8.0
Supported resolutions and frame rates (FPS);['720p (HD) 30fps', '480p (VGA)'];;0.0
Supported resolutions and frame rates (FPS);['720p (HD) 30fps'];3.25;4.0
Camera functions;['Flash function', 'Face Unlock'];;0.0
Camera functions;['Flash function', 'Night Vision', 'Face Unlock'];;0.0
Camera functions;['Flash function'];4.634813248766737;1419.0
Camera functions;['Optical zoom', 'Flash function'];4.924324324324324;37.0
Camera functions;['Optical zoom'];4.666666666666667;3.0
Camera functions;['Swivel Camera'];4.5200000000000005;20.0
Battery capacity [mAh];2580.0;3.7124999999999995;8.0
Battery capacity [mAh];3500.0;3.5;21.0
Battery capacity [mAh];3550.0;3.8;5.0
Battery capacity [mAh];4000.0;2.890909090909091;22.0
Battery capacity [mAh];4080.0;3.4;12.0
Battery capacity [mAh];4870.0;2.0;1.0
Battery capacity [mAh];5000.0;4.0815789473684205;76.0
Battery capacity [mAh];5060.0;3.3333333333333335;3.0
Battery capacity [mAh];5100.0;4.632244897959184;245.0
Battery capacity [mAh];5124.0;4.889285714285714;56.0
Battery capacity [mAh];5150.0;4.0;2.0
Battery capacity [mAh];5500.0;5.0;4.0
Battery capacity [mAh];5580.0;3.875;8.0
Battery capacity [mAh];6000.0;4.131578947368421;95.0
Battery capacity [mAh];6580.0;4.206569343065693;137.0
Battery capacity [mAh];6600.0;3.6;5.0
Battery capacity [mAh];7000.0;4.3;10.0
Battery capacity [mAh];7040.0;4.7523560209424085;191.0
Battery capacity [mAh];7200.0;;0.0
Battery capacity [mAh];7250.0;4.556521739130435;23.0
Battery capacity [mAh];7280.0;1.0;1.0
Battery capacity [mAh];7500.0;4.257627118644067;59.0
Battery capacity [mAh];7538.0;;0.0
Battery capacity [mAh];7600.0;3.0;1.0
Battery capacity [mAh];7650.0;4.4;5.0
Battery capacity [mAh];7680.0;4.675;40.0
Battery capacity [mAh];7700.0;4.601307189542483;153.0
Battery capacity [mAh];8000.0;4.496428571428572;56.0
Battery capacity [mAh];8250.0;;0.0
Battery capacity [mAh];8280.0;5.0;1.0
Battery capacity [mAh];8300.0;4.3500000000000005;24.0
Battery capacity [mAh];8400.0;4.788888888888888;18.0
Battery capacity [mAh];8580.0;5.0;8.0
Battery capacity [mAh];8686.327077747988;4.504545454545454;22.0
Battery capacity [mAh];8840.0;4.8;70.0
Battery capacity [mAh];9070.0;;0.0
Battery capacity [mAh];10000.0;4.0;11.0
Battery capacity [mAh];10090.0;4.574193548387097;62.0
Battery capacity [mAh];10200.0;4.433333333333334;15.0
Battery capacity [mAh];10600.0;5.0;1.0
Battery capacity [mAh];10758.0;5.0;2.0
Battery capacity [mAh];10800.0;;0.0
Battery capacity [mAh];11000.0;;0.0
Battery capacity [mAh];11200.0;5.0;6.0
Battery capacity [mAh];12300.0;;0.0
Battery capacity [mAh];13000.0;5.0;1.0
Battery capacity [mAh];15600.0;;0.0
Battery capacity [mAh];18600.0;;0.0
