id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;Hard drive -> Number of occupied slots 2.5";Hard drive -> Slots in total 2.5";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;
531;15.6;60.0;300.0;8.0;1.8;4.3;25.0;8.0;16.0;3200.0;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;45.0;65.0;11.0;;;1.65;1.0;1.0;;;1.0;;359.2;19.9;236.5;
532;15.6;165.0;300.0;14.0;1.9;4.9;55.0;24.0;16.0;4800.0;2.0;2.0;;8.0;115.0;2370.0;;;512.0;;512.0;1.0;1.0;;;;86.0;330.0;;6.0;;2.65;1.0;3.0;;;;;357.26;26.15;274.52;
533;15.6;60.0;250.0;4.0;2.5;4.5;28.0;8.0;16.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;41.0;45.0;8.75;3.0;;1.74;1.0;2.0;;;;;360.2;17.9;234.0;
534;16.0;165.0;300.0;6.0;4.3;5.0;54.0;16.0;16.0;5600.0;2.0;2.0;;8.0;100.0;2370.0;;;1000.0;;1000.0;1.0;2.0;;;;80.0;230.0;9.7;;;2.4;2.0;2.0;;;;;359.7;25.2;260.3;
535;16.0;120.0;500.0;14.0;1.9;5.4;45.0;24.0;16.0;;1.0;1.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;70.0;90.0;;3.0;;1.9;1.0;;;1.0;1.0;;355.2;19.7;252.4;
536;15.6;165.0;350.0;10.0;1.8;4.9;45.0;24.0;16.0;5200.0;2.0;2.0;;8.0;115.0;2370.0;;;1000.0;;1000.0;1.0;2.0;;;;60.0;230.0;;;;2.4;1.0;1.0;;2.0;;;359.6;25.2;264.8;
537;17.3;60.0;;10.0;1.7;4.7;15.0;12.0;16.0;;2.0;2.0;;;;;;;1000.0;;1000.0;1.0;2.0;;;;50.0;65.0;8.0;3.0;;2.2;1.0;3.0;;;;;402.1;19.9;257.9;
538;16.2;120.0;1000.0;12.0;;;;;16.0;;;;;;;;;;1000.0;;1000.0;;;;;;100.0;;22.0;;;2.15;3.0;;3.0;;;;355.7;16.8;248.1;
539;13.0;;;10.0;;4.4;55.0;12.0;16.0;;;;;;;;;;256.0;;256.0;;;;;;47.7;;;4.0;;0.9;2.0;;;;;;287.0;9.3;208.0;
540;18.0;165.0;300.0;14.0;2.6;4.9;55.0;24.0;32.0;4800.0;2.0;2.0;;8.0;140.0;2225.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;90.0;280.0;;4.0;;3.0;1.0;;1.0;2.0;;;399.0;30.8;294.0;
541;14.0;60.0;300.0;12.0;2.5;4.5;45.0;18.0;16.0;4800.0;;0.0;;4.0;;;;;512.0;;512.0;1.0;1.0;;;;61.0;100.0;12.2;;;1.36;;1.0;2.0;;;;312.4;14.6;221.4;
542;136.0;;500.0;8.0;;;;4.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;53.0;;;;18.0;124.0;2.0;;2.0;;;;304.0;113.0;215.0;
543;144.0;120.0;;4.0;;44.0;35.0;8.0;16.0;;;;;;;;;;512.0;;512.0;;;;;;58.0;;;;19.0;175.0;2.0;;;;;;32328.0;1894.0;22832.0;
544;15.6;144.0;350.0;8.0;1.5;4.6;45.0;12.0;16.0;5200.0;2.0;2.0;;6.0;115.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;60.0;170.0;;4.0;;2.4;1.0;1.0;;2.0;;;359.6;25.2;264.8;
545;16.0;60.0;330.0;10.0;1.3;4.4;15.0;12.0;16.0;4800.0;;;;;;;;;512.0;;512.0;1.0;2.0;;;;57.0;65.0;;;;1.8;1.0;2.0;1.0;;1.0;;356.0;16.5;251.0;
546;16.0;250.0;1000.0;24.0;3.9;5.4;55.0;36.0;32.0;5600.0;2.0;2.0;;12.0;175.0;1930.0;;;2000.0;;2000.0;1.0;2.0;;;;90.0;330.0;5.0;4.0;;2.7;;1.0;2.0;2.0;;;357.78;24.9;278.74;
547;16.0;120.0;400.0;8.0;3.0;5.1;35.0;16.0;32.0;;;;;6.0;;;;;1000.0;;1000.0;1.0;1.0;;;;76.0;135.0;10.0;4.0;;2.0;2.0;1.0;;1.0;;;356.0;17.9;249.17;
548;15.6;144.0;350.0;8.0;3.8;5.1;54.0;16.0;16.0;5200.0;2.0;2.0;;8.0;115.0;2370.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;60.0;230.0;9.5;4.0;;2.4;1.0;2.0;;;1.0;;359.6;25.2;264.8;
549;13.0;;450.0;10.0;1.3;4.8;15.0;12.0;16.0;;;0.0;;;;;;;256.0;;256.0;;;;;;47.7;;15.5;;;0.88;;;2.0;;;;209.0;9.3;287.0;
550;13.6;;500.0;8.0;;;;4.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;53.0;;18.0;;;1.24;2.0;;2.0;;;;304.0;11.3;215.0;
551;14.0;90.0;400.0;12.0;1.7;4.4;28.0;12.0;8.0;4800.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;61.0;65.0;17.83;;;1.37;2.0;1.0;;;;;312.4;14.6;221.4;
552;153.0;;500.0;8.0;;;;;8.0;;;;;;;;;;512.0;;512.0;;;;;;665.0;35.0;;;18.0;151.0;2.0;;1.0;;;;3404.0;115.0;2376.0;
553;15.6;120.0;250.0;10.0;0.9;4.6;15.0;12.0;16.0;3200.0;;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.9;1.0;1.0;;;1.0;;358.5;17.5;235.56;
554;17.0;240.0;;24.0;2.2;5.6;55.0;36.0;32.0;5600.0;2.0;2.0;;12.0;175.0;2280.0;;;1000.0;;1000.0;1.0;2.0;;;;90.0;330.0;4.0;4.0;;3.0;1.0;1.0;1.0;1.0;;;380.34;29.45;297.97;
555;16.0;120.0;350.0;6.0;3.3;4.5;35.0;16.0;16.0;6400.0;;;;4.0;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;75.0;135.0;13.57;;;1.95;1.0;2.0;;;;;356.0;16.9;251.0;
556;17.3;165.0;300.0;10.0;3.5;4.7;45.0;24.0;16.0;;2.0;2.0;;8.0;140.0;2350.0;;;1000.0;;1000.0;1.0;2.0;;;;90.0;280.0;5.5;4.0;;3.0;;1.0;1.0;2.0;;;400.5;27.9;294.48;
557;14.0;60.0;300.0;6.0;3.3;4.5;35.0;16.0;16.0;6400.0;;;;;;;;;512.0;;512.0;1.0;1.0;;;;56.5;65.0;16.1;;;1.41;2.0;2.0;;;;;312.2;15.9;221.0;
558;17.3;144.0;250.0;6.0;2.7;4.5;45.0;12.0;8.0;3200.0;1.0;2.0;;4.0;;;;;512.0;;512.0;1.0;1.0;0.0;1.0;;57.0;135.0;8.0;4.0;;2.7;1.0;2.0;;1.0;;;403.5;24.9;280.0;
559;14.0;60.0;500.0;10.0;1.2;5.0;15.0;12.0;32.0;4800.0;;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;57.0;65.0;;;;1.25;;2.0;2.0;;;;317.5;16.9;226.9;
560;;144.0;250.0;6.0;3.3;4.2;;16.0;16.0;3200.0;;2.0;;4.0;;;;;512.0;;512.0;;;;;;52.5;150.0;7.0;3.0;;2.29;1.0;2.0;;;;;357.9;23.5;255.0;
561;16.0;120.0;350.0;6.0;3.3;4.5;35.0;16.0;16.0;6400.0;;0.0;;4.0;80.0;1500.0;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;75.0;135.0;;;;1.95;1.0;2.0;;;;;356.0;16.9;251.0;
562;15.6;144.0;250.0;6.0;3.3;4.2;45.0;16.0;16.0;3200.0;2.0;2.0;;4.0;60.0;;;;1000.0;;1000.0;;;;;;70.0;200.0;;4.0;;2.29;1.0;2.0;;;;;357.9;23.5;255.0;
563;14.4;120.0;;4.0;3.3;4.8;35.0;12.0;32.0;;;;;4.0;;;;;2000.0;;2000.0;;;;;;58.0;;18.0;;;1.82;;;2.0;;;;323.28;18.94;228.32;
564;16.0;165.0;250.0;14.0;2.3;4.7;45.0;24.0;16.0;3200.0;0.0;1.0;;8.0;120.0;0.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;90.0;240.0;;4.0;;2.0;1.0;;1.0;2.0;;;355.0;22.9;243.0;
565;16.0;60.0;250.0;6.0;2.3;4.3;15.0;16.0;8.0;3200.0;2.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.97;1.0;2.0;;;;;356.78;17.95;251.9;
566;16.0;240.0;500.0;16.0;2.5;5.4;55.0;64.0;32.0;5200.0;2.0;2.0;;16.0;175.0;2040.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;99.9;330.0;;;;2.8;2.0;4.0;;;;;363.4;25.9;263.55;
567;16.0;120.0;550.0;14.0;1.8;5.0;45.0;24.0;16.0;3200.0;1.0;1.0;;4.0;80.0;1500.0;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;63.0;120.0;;3.0;;1.8;1.0;;;2.0;;;358.6;18.9;249.1;
568;14.0;165.0;500.0;8.0;3.2;4.7;35.0;16.0;16.0;4800.0;;;;8.0;115.0;2370.0;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;63.0;65.0;;4.0;;1.48;1.0;;1.0;2.0;;;312.0;19.9;227.0;
569;15.6;;500.0;6.0;2.3;4.3;15.0;16.0;16.0;3200.0;2.0;2.0;;;;;;;1000.0;;1000.0;;;;;;51.0;65.0;11.75;3.0;;1.7;2.0;;;2.0;;;359.0;18.6;229.0;
570;16.0;165.0;500.0;8.0;3.8;5.1;35.0;16.0;16.0;5600.0;2.0;2.0;;8.0;140.0;1681.0;;;1000.0;;1000.0;1.0;2.0;;;;90.0;330.0;;4.0;;2.7;1.0;;1.0;2.0;1.0;;360.1;25.9;279.9;
571;16.0;60.0;300.0;14.0;1.8;5.0;45.0;24.0;16.0;5200.0;1.0;2.0;;;;;;;1000.0;;1000.0;1.0;2.0;;;;71.0;100.0;17.72;;;1.7;1.0;2.0;1.0;;;;356.0;17.5;253.5;
572;16.0;165.0;500.0;8.0;3.8;5.1;35.0;16.0;16.0;5600.0;2.0;2.0;;8.0;140.0;1681.0;;;1000.0;;1000.0;1.0;2.0;;;;90.0;330.0;10.0;4.0;;2.7;2.0;;;2.0;1.0;;360.1;25.9;279.9;
573;14.0;60.0;250.0;8.0;1.8;4.3;25.0;8.0;16.0;3200.0;2.0;2.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;41.0;45.0;9.75;3.0;;1.46;1.0;2.0;;;;;324.0;17.9;225.0;
574;16.0;240.0;500.0;16.0;2.5;5.4;55.0;64.0;32.0;5200.0;2.0;2.0;;12.0;175.0;2280.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;99.9;330.0;5.5;;;2.8;2.0;4.0;;;;;363.4;25.9;263.55;
575;15.6;60.0;250.0;10.0;3.5;4.7;15.0;10.0;16.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;0.0;;54.0;65.0;;3.0;;1.61;;2.0;2.0;;;;357.8;22.8;233.3;
576;16.0;165.0;500.0;8.0;3.8;5.1;35.0;16.0;16.0;5600.0;2.0;2.0;;6.0;140.0;1681.0;;;1000.0;;1000.0;1.0;2.0;;;;90.0;230.0;10.0;4.0;;2.7;2.0;;;2.0;1.0;;360.1;25.9;279.9;
577;15.6;;;10.0;3.3;4.4;15.0;12.0;16.0;;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;40.0;45.0;5.0;3.0;;1.7;;3.0;;;;;362.9;17.9;241.26;
578;17.3;240.0;;24.0;1.3;5.6;55.0;36.0;32.0;5600.0;2.0;2.0;;16.0;175.0;;;;2000.0;;;2.0;2.0;;;;99.0;330.0;;;;2.8;;;1.0;3.0;;;396.0;21.8;293.0;
579;14.0;120.0;;12.0;;5.0;;18.0;32.0;4800.0;;;;;;;;;1000.0;;1000.0;;;;;;51.0;65.0;;3.0;;1.45;;2.0;2.0;;;;315.6;19.9;224.3;
580;15.6;144.0;250.0;6.0;3.3;4.2;45.0;16.0;8.0;3200.0;1.0;2.0;;4.0;50.0;1560.0;;;512.0;;512.0;1.0;1.0;;;;52.5;150.0;7.0;3.0;;2.29;1.0;2.0;;;;;357.9;23.5;255.0;
581;14.0;90.0;600.0;10.0;1.2;0.5;15.0;12.0;32.0;5200.0;;0.0;;;;;;;2000.0;;2000.0;1.0;1.0;0.0;0.0;;63.0;65.0;;3.0;;0.99;;;2.0;1.0;;;311.0;15.7;215.0;
582;16.0;165.0;500.0;8.0;3.8;5.1;35.0;16.0;32.0;5600.0;2.0;2.0;;8.0;140.0;1681.0;;;1000.0;;1000.0;1.0;2.0;;;;90.0;330.0;10.0;4.0;;2.7;2.0;;;2.0;1.0;;360.1;25.9;279.9;
583;16.0;120.0;400.0;14.0;2.6;5.4;45.0;24.0;16.0;4800.0;1.0;1.0;;6.0;65.0;;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;96.0;150.0;;6.0;;1.9;1.0;2.0;1.0;;;;355.3;20.0;252.0;
584;15.6;;350.0;24.0;3.9;5.4;55.0;36.0;32.0;5600.0;2.0;2.0;;12.0;175.0;1930.0;;;2000.0;;2000.0;2.0;2.0;;;;90.0;330.0;3.5;4.0;;2.99;;1.0;2.0;2.0;;;359.4;26.9;280.8;
585;13.5;;;10.0;1.7;4.7;55.0;12.0;16.0;;;;;;;;;;512.0;;512.0;;;;;;47.4;65.0;;;;1.3;1.0;1.0;;;;;308.0;14.5;223.0;
586;13.6;;500.0;8.0;;;;4.0;8.0;;;;;;;;;;512.0;;512.0;;;;;;53.0;;18.0;;;1.24;2.0;;2.0;;;;304.0;11.3;215.0;
587;14.5;120.0;400.0;14.0;2.4;5.0;45.0;24.0;16.0;4800.0;;;;4.0;;;;;1000.0;;1000.0;1.0;1.0;;;;70.0;100.0;;3.0;;1.56;;;2.0;1.0;;;321.8;16.9;225.6;
588;15.6;144.0;350.0;12.0;1.9;4.7;95.0;18.0;16.0;5200.0;1.0;1.0;;8.0;115.0;2370.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;60.0;230.0;5.32;;;2.4;1.0;1.0;;2.0;;;359.6;25.2;264.8;
589;14.0;60.0;300.0;10.0;1.2;5.0;15.0;12.0;32.0;5200.0;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;52.5;65.0;;;;1.36;;2.0;2.0;;;;317.7;17.9;226.9;
590;133.0;;500.0;8.0;;;;;8.0;;;;;;;;;;256.0;;256.0;;;;;;58.0;;;;20.0;14.0;2.0;;2.0;;;;3041.0;156.0;2124.0;
591;13.3;60.0;550.0;10.0;1.3;4.6;15.0;12.0;16.0;5200.0;;;;;;;;;512.0;;512.0;1.0;1.0;;;;63.0;65.0;14.0;4.0;;1.0;;;2.0;1.0;;;296.2;11.8;216.3;
592;16.0;240.0;500.0;12.0;1.9;4.7;95.0;18.0;16.0;5200.0;2.0;2.0;;8.0;125.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;80.0;230.0;7.6;;;2.4;2.0;;;2.0;;;359.7;25.2;260.3;
593;16.0;;300.0;10.0;3.7;5.0;15.0;12.0;32.0;3200.0;1.0;2.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;65.0;65.0;11.5;;;1.49;2.0;3.0;2.0;;;;357.0;20.9;249.0;
594;16.0;240.0;500.0;12.0;1.9;4.7;95.0;18.0;;5200.0;2.0;2.0;;8.0;125.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;80.0;230.0;7.6;;;2.4;2.0;;;2.0;;;359.7;25.2;260.3;
595;15.6;60.0;250.0;8.0;2.0;4.5;15.0;16.0;16.0;3200.0;1.0;2.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;57.0;65.0;18.1;;;1.77;2.0;2.0;;;;;305.0;17.23;218.0;
596;16.0;165.0;250.0;8.0;4.0;5.2;;16.0;16.0;4800.0;2.0;2.0;;8.0;95.0;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;90.0;240.0;15.0;4.0;;2.2;1.0;2.0;;;;;355.0;26.8;252.0;
597;14.5;120.0;400.0;8.0;3.2;4.7;35.0;16.0;16.0;6400.0;;;;4.0;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;70.0;100.0;12.5;;;1.45;2.0;2.0;;;;;328.2;15.9;221.4;
598;15.6;120.0;250.0;8.0;1.5;4.4;45.0;12.0;16.0;3200.0;2.0;2.0;;4.0;85.0;1740.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;60.0;170.0;7.7;;;2.31;;2.0;1.0;;;;359.6;21.8;266.4;
599;17.3;;300.0;10.0;;5.0;;12.0;16.0;3200.0;1.0;;;;;;;;512.0;;512.0;;;;;;41.0;;;3.0;;2.08;1.0;;;;;2.0;400.7;19.9;257.8;
600;16.0;165.0;300.0;8.0;1.5;4.4;45.0;12.0;16.0;4800.0;2.0;2.0;;6.0;100.0;2370.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;80.0;230.0;;;;2.4;2.0;;;2.0;;;359.7;22.0;260.3;
601;14.0;60.0;300.0;10.0;0.9;4.6;15.0;12.0;8.0;3200.0;;1.0;;;;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;57.0;65.0;;;;1.53;1.0;1.0;1.0;;1.0;;313.0;17.99;219.3;
602;16.0;240.0;500.0;24.0;2.2;5.6;55.0;36.0;32.0;4800.0;2.0;2.0;;8.0;140.0;2225.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;90.0;280.0;;4.0;;2.5;1.0;;1.0;2.0;;;354.0;30.4;264.0;
603;14.5;120.0;400.0;8.0;3.8;5.1;54.0;16.0;16.0;6400.0;1.0;1.0;;6.0;;;;;1000.0;;1000.0;1.0;1.0;;;;73.0;140.0;12.06;;;1.49;2.0;1.0;;;;;325.5;15.6;226.49;
604;15.6;165.0;350.0;8.0;1.5;4.6;95.0;12.0;16.0;5200.0;2.0;2.0;;6.0;95.0;0.0;;;1000.0;;1000.0;1.0;2.0;;;;60.0;170.0;5.32;;;2.4;1.0;1.0;;2.0;;;359.6;25.2;264.8;
605;14.0;60.0;250.0;10.0;0.9;4.4;15.0;12.0;16.0;3200.0;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;50.0;65.0;;3.0;;1.61;;;2.0;1.0;1.0;;329.0;19.5;223.9;
606;17.3;144.0;250.0;10.0;1.7;4.7;45.0;24.0;32.0;;2.0;2.0;;6.0;140.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;90.0;230.0;;4.0;;3.0;;1.0;1.0;2.0;;;400.5;27.9;294.48;
607;15.6;60.0;300.0;6.0;2.3;4.3;15.0;16.0;8.0;3200.0;0.0;1.0;;;;;;;256.0;;256.0;1.0;2.0;;;;45.0;65.0;8.0;;;1.7;2.0;2.0;;;;;357.0;18.9;235.0;
608;13.3;60.0;400.0;8.0;;;;;16.0;;;;;;;;;;256.0;;256.0;;;;;;50.0;;18.0;;;1.25;2.0;;;;;;304.1;15.6;212.4;
609;14.0;;300.0;10.0;0.9;4.4;15.0;12.0;16.0;4266.0;;;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;52.5;65.0;13.5;3.0;;1.5;;2.0;1.0;;;;313.1;17.4;224.9;
610;15.6;165.0;350.0;12.0;3.5;4.7;45.0;18.0;16.0;5200.0;2.0;2.0;;8.0;115.0;2370.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;60.0;230.0;5.32;;;2.4;1.0;1.0;;2.0;;;359.6;25.2;264.8;
611;15.6;60.0;250.0;10.0;0.9;4.6;55.0;12.0;16.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;57.0;65.0;14.54;;;1.77;1.0;2.0;1.0;;;;360.2;19.93;237.0;
612;17.3;144.0;300.0;8.0;3.2;4.4;54.0;16.0;16.0;3200.0;2.0;2.0;;8.0;130.0;1560.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;80.0;300.0;7.9;;;2.98;2.0;4.0;;;;;398.6;26.2;290.0;
613;15.6;60.0;300.0;10.0;0.9;4.4;55.0;12.0;8.0;3200.0;0.0;1.0;;;;;;;256.0;;256.0;1.0;2.0;;;;45.0;65.0;8.0;;;1.7;1.0;2.0;1.0;;;;357.0;18.9;235.0;
614;16.1;240.0;300.0;16.0;1.5;5.0;55.0;30.0;32.0;4800.0;2.0;2.0;;12.0;145.0;2505.0;;;2000.0;;2000.0;1.0;1.0;0.0;0.0;;83.0;280.0;4.5;6.0;;2.35;;2.0;2.0;;;;369.0;23.5;259.4;
615;16.0;120.0;400.0;14.0;;5.0;115.0;24.0;16.0;;;;;;;;;;1000.0;;1000.0;1.0;2.0;;;;65.0;100.0;;4.0;9.0;16.0;;2.0;2.0;;;;356.0;149.0;2426.0;
616;13.6;;500.0;8.0;;;;;24.0;;;;;;;;;;2000.0;;2000.0;;;;;;52.6;35.0;18.0;;;1.24;2.0;;2.0;;;;304.0;11.3;215.0;
617;14.0;120.0;500.0;10.0;1.2;5.0;15.0;12.0;32.0;4800.0;2.0;2.0;;4.0;60.0;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;51.0;65.0;11.25;3.0;;1.45;;2.0;2.0;;;;315.6;19.9;224.3;
618;18.0;240.0;500.0;24.0;2.2;5.6;55.0;36.0;32.0;4800.0;2.0;2.0;;8.0;140.0;2225.0;;;1000.0;;1000.0;2.0;1.0;;;;90.0;280.0;;4.0;;3.0;1.0;;1.0;2.0;;;399.0;30.8;294.0;
619;14.0;60.0;300.0;14.0;1.8;5.0;45.0;24.0;16.0;5200.0;2.0;2.0;;;;;;;1000.0;;1000.0;1.0;2.0;;;;60.0;100.0;16.53;;;1.38;1.0;2.0;1.0;;;;313.5;16.9;224.0;
620;13.6;;500.0;8.0;;;;4.0;8.0;;;;;;;;;;256.0;;256.0;;;;;;53.0;;18.0;;;1.24;2.0;;2.0;;;;304.0;11.3;215.0;
621;15.6;120.0;250.0;10.0;3.7;5.0;;12.0;16.0;3200.0;2.0;2.0;;;;;;;1000.0;;;;;;;;54.0;65.0;;4.0;;1.9;;;;2.0;1.0;;358.5;18.99;235.56;
622;14.2;;1000.0;8.0;;;;;8.0;;;;;;;;;;512.0;;512.0;;;;;;58.0;;20.0;;;1.55;2.0;;2.0;;;;312.6;15.5;221.2;
623;15.6;60.0;600.0;12.0;;4.7;95.0;18.0;16.0;;;;;4.0;;;;;512.0;;512.0;;;;;;70.0;90.0;;3.0;;1.7;;1.0;1.0;;1.0;;359.3;17.9;229.4;
624;16.0;165.0;300.0;6.0;3.3;4.5;45.0;16.0;16.0;4800.0;1.0;1.0;;4.0;;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;99.0;230.0;10.6;;;2.23;2.0;2.0;;;;;357.7;16.9;260.0;
625;15.6;60.0;400.0;12.0;2.2;5.0;28.0;18.0;32.0;4800.0;2.0;2.0;;4.0;;;;;512.0;;512.0;1.0;1.0;;;;54.0;130.0;;3.0;;1.61;;2.0;2.0;;;;357.8;22.8;233.3;
626;136.0;;500.0;8.0;;;;4.0;8.0;;;;;;;;;;512.0;;512.0;;;;;;53.0;;;;18.0;124.0;2.0;;2.0;;;;304.0;113.0;215.0;
627;13.3;60.0;550.0;8.0;3.0;5.1;30.0;16.0;16.0;6400.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;0.0;0.0;;67.0;65.0;;4.0;;1.1;3.0;;;;;;296.7;14.9;210.5;
628;16.0;240.0;500.0;14.0;1.8;5.0;115.0;24.0;32.0;5200.0;2.0;2.0;;8.0;140.0;2175.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;80.0;230.0;7.6;;;2.4;2.0;;;2.0;;;359.7;25.2;260.3;
629;14.0;;400.0;10.0;3.4;4.6;15.0;12.0;16.0;6400.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;;64.0;14.8;;;0.91;2.0;2.0;2.0;;;;308.0;17.3;209.0;
630;15.6;144.0;250.0;6.0;3.3;4.55;35.0;16.0;16.0;3200.0;2.0;2.0;;4.0;60.0;;;;512.0;;512.0;;;;;;70.0;200.0;;4.0;;2.29;1.0;2.0;;;;;357.9;23.5;255.0;
631;16.0;60.0;400.0;8.0;2.0;4.5;15.0;16.0;16.0;4266.0;;;;;;;;;1000.0;;1000.0;1.0;1.0;;;;52.5;65.0;13.0;;;2.1;1.0;2.0;;;;;357.8;18.7;253.9;
632;17.3;165.0;300.0;8.0;4.0;5.2;35.0;12.0;32.0;5600.0;2.0;2.0;;8.0;140.0;1656.0;;;1000.0;;1000.0;1.0;2.0;0.0;0.0;;90.0;330.0;;4.0;;3.1;1.0;;;2.0;1.0;;400.2;27.9;293.25;
633;16.0;60.0;300.0;8.0;1.5;4.4;45.0;12.0;16.0;4800.0;0.0;0.0;;;;;;;1000.0;;1000.0;1.0;1.0;;;;47.0;65.0;11.6;;;1.74;1.0;2.0;;;;;359.2;18.4;257.0;
634;16.0;60.0;;14.0;;5.0;115.0;24.0;16.0;4800.0;;2.0;;8.0;105.0;1980.0;;;1000.0;;1000.0;;2.0;;;;88.0;240.0;7.5;;;2.1;1.0;1.0;2.0;;;;354.0;22.0;255.0;
635;16.0;;400.0;14.0;;5.2;;24.0;64.0;5200.0;;;;;;;;;2000.0;;2000.0;;;;;;51.0;110.0;;3.0;;1.72;;2.0;;;;;358.7;19.9;250.9;
636;15.6;120.0;250.0;10.0;2.4;4.6;55.0;20.0;16.0;4800.0;2.0;2.0;;6.0;;;;;512.0;;512.0;1.0;1.0;;;;56.0;240.0;;3.0;;2.65;1.0;3.0;;;;;357.26;26.15;274.52;
637;16.0;;400.0;14.0;;5.4;;24.0;32.0;;;;;8.0;;;;;2000.0;;2000.0;;;;;;86.0;;;6.0;;1.73;;1.0;2.0;;;;356.0;19.0;242.0;
638;153.0;;500.0;;;;;;24.0;;;;;;;;;;512.0;;512.0;;;;;;665.0;70.0;;;15.0;151.0;;;2.0;;;;3404.0;115.0;2376.0;
639;14.0;90.0;300.0;14.0;2.4;5.0;45.0;24.0;32.0;4800.0;;;;6.0;;;;;1000.0;;1000.0;1.0;1.0;;0.0;;64.0;130.0;;4.0;;1.77;;2.0;1.0;;;;314.0;18.99;226.6;
640;16.1;144.0;250.0;6.0;2.7;4.5;45.0;12.0;16.0;2933.0;2.0;2.0;;6.0;115.0;1702.0;;;512.0;;512.0;1.0;1.0;;;;70.0;200.0;5.75;4.0;;2.46;1.0;3.0;;;;;370.0;23.5;260.0;
