id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;Hard drive -> Number of occupied slots 2.5";Hard drive -> Slots in total 2.5";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;
1524;16.0;;;12.0;3.4;4.7;28.0;18.0;16.0;;1.0;1.0;;;;;;;512.0;;512.0;1.0;1.0;;;;56.0;65.0;9.5;4.0;;1.64;;;2.0;2.0;;;357.9;18.5;251.9;
1525;16.0;;300.0;10.0;3.4;4.6;15.0;12.0;16.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;65.0;65.0;11.5;;;1.49;2.0;3.0;2.0;;;;357.0;20.9;249.0;
1526;16.0;60.0;300.0;16.0;1.5;5.0;55.0;30.0;16.0;5600.0;2.0;4.0;;4.0;50.0;1550.0;;;512.0;;512.0;1.0;2.0;0.0;0.0;;94.0;170.0;;;;2.95;1.0;2.0;2.0;;;;364.0;30.23;266.0;
1527;16.0;60.0;400.0;6.0;3.2;4.9;28.0;16.0;16.0;6400.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;86.0;65.0;26.1;;;1.89;1.0;2.0;1.0;;;;361.9;20.5;255.5;
1528;16.0;60.0;400.0;6.0;3.3;4.5;45.0;16.0;16.0;6400.0;0.0;0.0;;6.0;;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;71.0;230.0;9.6;;;1.99;2.0;;;2.0;;;356.0;19.9;252.0;
1529;14.0;60.0;500.0;14.0;2.4;4.8;35.0;24.0;32.0;5200.0;;;;4.0;;;;;1000.0;;1000.0;1.0;1.0;;;;72.0;130.0;;4.0;;1.48;;;4.0;;;;310.6;11.09;210.35;
1530;14.0;60.0;500.0;14.0;2.4;4.8;35.0;24.0;32.0;5200.0;;;;4.0;;;;;1000.0;;1000.0;1.0;1.0;;;;72.0;130.0;;4.0;;1.48;;;4.0;;;;310.6;11.09;210.35;
1531;16.0;120.0;300.0;14.0;2.4;5.0;45.0;24.0;16.0;4800.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;86.0;;;6.0;;2.13;;2.0;1.0;;;;356.78;17.91;251.7;
1532;14.0;90.0;300.0;12.0;1.9;4.7;45.0;18.0;16.0;4800.0;;0.0;;6.0;80.0;1500.0;;;512.0;;512.0;1.0;1.0;0.0;0.0;;64.0;130.0;;4.0;;1.77;;1.0;2.0;;;;314.0;18.99;226.6;
1533;16.0;60.0;300.0;12.0;2.2;5.0;28.0;18.0;16.0;4800.0;0.0;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;64.0;65.0;;4.0;;1.94;;2.0;1.0;;;;356.78;18.2;251.7;
1534;14.0;60.0;250.0;6.0;1.2;4.4;15.0;10.0;8.0;2666.0;1.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.49;;2.0;;;1.0;;321.27;19.48;220.26;
1535;15.6;60.0;250.0;10.0;0.9;4.6;15.0;12.0;8.0;2666.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;41.0;65.0;;3.0;;1.66;1.0;1.0;;;1.0;;358.5;17.5;235.56;
1536;14.0;;;4.0;2.8;4.7;28.0;12.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.49;1.0;1.0;;;1.0;;321.27;19.48;220.26;
1537;15.6;60.0;250.0;10.0;3.5;4.7;15.0;12.0;16.0;3200.0;2.0;2.0;;;;;;;256.0;;256.0;1.0;1.0;;0.0;;54.0;65.0;;3.0;;1.61;;2.0;2.0;;;;357.8;22.8;233.3;
