;id;Display -> Display size;Display -> Display refresh rate;Display -> Luminosity;Processor -> Number of processor cores;Processor -> Processor frequency;Processor -> Core boost frequency;Processor -> TDP;Processor -> Cache processor;Memory -> Size of operational RAM;Memory -> Memory frequency;Memory -> Number of installed slots;Memory -> Total number of slots;Memory -> Intel Optane;Graphics card -> Graphics card memory;Graphics card -> Maximum Graphic Power (TGP);Graphics card -> Boost clock;Graphics card -> Number of stream processors;Graphics card -> GPU Passmark;Hard drive -> Storage capacity;Hard drive -> HDD capacity;Hard drive -> SSD capacity;Hard drive -> Number of occupied slots M.2;Hard drive -> Slots in total M.2;"Hard drive -> Number of occupied slots 2.5""";"Hard drive -> Slots in total 2.5""";Hard drive -> Number of free slots;Battery -> Battery capacity;Battery -> Charging power;Battery -> Maximum battery capacity;Battery -> Number of cells;Battery -> Standby time;Weight -> Weight;Interface -> USB-C;Interface -> USB 3.2 Gen 1 (USB 3.0);Interface -> Thunderbolt / USB 4;Interface -> USB 3.2 Gen 2;Interface -> USB 2.0;Interface -> USB 3.2 Gen 2x2;Dimensions -> Width;Dimensions -> Maximum height;Dimensions -> Depth;Unnamed: 42;Price;Price without VAT
2212;2212;16.0;;400.0;6.0;2.9;4.5;15.0;16.0;16.0;;;;;;;;;;512.0;;512.0;1.0;2.0;;;;54.0;65.0;7.5;3.0;;1.17;1.0;2.0;;2.0;;;356.7;13.95;242.3;;21990.0;18174.0
2213;2213;16.0;60.0;300.0;10.0;0.9;4.4;55.0;12.0;16.0;3200.0;;;;;;;;;512.0;;512.0;1.0;1.0;;;;53.0;65.0;16.5;;;1.77;2.0;2.0;;;;;361.9;20.5;255.5;;30690.0;25364.0
2214;2214;15.6;;;10.0;3.4;4.6;15.0;12.0;16.0;;2.0;2.0;;4.0;;;;;1000.0;;1000.0;1.0;2.0;;;;50.0;90.0;8.0;3.0;;1.78;;2.0;1.0;;;;361.0;17.9;237.0;;23990.0;19826.0
2215;2215;15.6;;250.0;10.0;1.7;5.0;;12.0;16.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;;;;;;;65.0;;3.0;;1.78;1.0;2.0;1.0;;;;359.4;19.9;233.9;;28690.0;23711.0
2216;2216;14.0;60.0;250.0;6.0;2.3;4.3;15.0;16.0;16.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.55;1.0;2.0;;;;;314.0;18.37;227.5;;20990.0;17347.0
2217;2217;14.0;60.0;250.0;6.0;2.3;4.3;15.0;16.0;8.0;3200.0;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;;;;57.0;65.0;15.4;;;1.39;2.0;2.0;;;;;325.4;19.83;217.0;;19990.0;16521.0
2218;2218;14.0;60.0;250.0;10.0;3.3;4.4;15.0;12.0;16.0;3200.0;;;;;;;;;512.0;;512.0;1.0;;;;;43.0;65.0;8.0;3.0;;1.51;1.0;2.0;;;;;322.0;19.9;210.0;;22090.0;18256.0
2219;2219;16.0;;;4.0;;5.0;28.0;12.0;16.0;;;;32.0;;;;;;1000.0;;;;;;;;83.0;90.0;17.0;6.0;;2.1;2.0;1.0;2.0;;;;358.0;19.9;245.3;;33990.0;28091.0
2220;2220;14.0;60.0;300.0;12.0;1.5;4.7;28.0;18.0;16.0;3200.0;0.0;1.0;;4.0;;;;;512.0;;512.0;1.0;1.0;0.0;0.0;;52.5;100.0;;;;1.24;;2.0;2.0;;;;317.7;17.95;226.9;;41190.0;34041.0
2221;2221;14.0;60.0;300.0;8.0;2.0;4.5;15.0;16.0;16.0;;;0.0;;4.0;;;;;1000.0;;1000.0;1.0;2.0;;;;59.0;90.0;9.5;3.0;;1.39;1.0;2.0;;;;;322.8;17.9;212.2;;26590.0;21975.0
2222;2222;16.0;60.0;300.0;6.0;2.9;4.5;28.0;16.0;16.0;6400.0;;0.0;;;;;;;512.0;;512.0;1.0;1.0;;;;52.5;65.0;18.3;;;1.65;2.0;2.0;;;;;317.5;16.9;226.9;;31290.0;25860.0
2223;2223;17.3;;300.0;10.0;;4.4;55.0;12.0;8.0;3200.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;;;;;41.0;65.0;;3.0;;2.08;1.0;2.0;;;;;400.7;19.9;257.8;;20390.0;16851.0
2224;2224;14.0;60.0;400.0;12.0;3.4;4.7;28.0;18.0;16.0;4800.0;2.0;2.0;;;;;;;512.0;;512.0;1.0;;;;;51.0;65.0;13.0;3.0;;1.4;;2.0;2.0;;;;315.6;19.2;224.0;;39990.0;33050.0
2225;2225;15.6;60.0;;6.0;2.3;4.2;15.0;16.0;8.0;;1.0;2.0;;;;;;;512.0;;512.0;1.0;1.0;0.0;1.0;;48.0;65.0;12.0;3.0;;1.8;1.0;3.0;;;;;363.0;19.9;255.0;;15990.0;13215.0
2226;2226;13.0;;450.0;10.0;1.3;4.8;15.0;12.0;16.0;;;0.0;;;;;;;512.0;;512.0;;;;;;47.7;;15.5;;;0.88;;;2.0;;;;209.0;9.3;287.0;;56790.0;46934.0
2227;2227;15.6;60.0;300.0;14.0;1.8;4.8;115.0;24.0;16.0;4800.0;1.0;2.0;;4.0;;;;;512.0;;512.0;1.0;2.0;0.0;0.0;;68.0;135.0;;;;2.23;;2.0;1.0;;;;366.5;22.7;250.0;;71690.0;59248.0
2228;2228;16.0;60.0;300.0;12.0;2.2;5.0;28.0;18.0;16.0;4800.0;;0.0;;4.0;45.0;1477.0;;;1000.0;;1000.0;1.0;1.0;;;;54.0;65.0;;4.0;;1.94;1.0;2.0;;;;;356.78;18.2;251.7;;34890.0;28835.0
2229;2229;14.0;;250.0;10.0;;5.0;;12.0;16.0;3200.0;2.0;2.0;;;;;;;1000.0;;1000.0;;;;;;41.0;45.0;9.0;3.0;;1.4;1.0;2.0;;;;;323.7;32.5;215.0;;21990.0;18174.0
