attribute;value;rating;rating_count
Front camera resolution [Mpx];5.0;4.351453488372093;1032.0
Front camera resolution [Mpx];7.0;4.789075018208304;1373.0
Front camera resolution [Mpx];8.0;4.3650698602794415;2004.0
Front camera resolution [Mpx];9.5;5.0;4.0
Front camera resolution [Mpx];10.0;4.559686450167973;893.0
Front camera resolution [Mpx];10.8;4.621250000000001;320.0
Front camera resolution [Mpx];11.1;3.9;90.0
Front camera resolution [Mpx];12.0;4.8307425189479725;33117.0
Front camera resolution [Mpx];13.0;4.537971274685817;3342.0
Front camera resolution [Mpx];16.0;4.612455216016859;4745.0
Front camera resolution [Mpx];20.0;4.858448389217621;1521.0
Front camera resolution [Mpx];24.0;4.55284090909091;176.0
Front camera resolution [Mpx];32.0;4.647738579828132;4422.0
Front camera resolution [Mpx];40.0;4.621739130434783;230.0
Front camera resolution [Mpx];44.0;4.7;28.0
Front camera resolution [Mpx];50.0;4.780327868852458;122.0
Front camera resolution [Mpx];60.0;4.3196078431372555;102.0
Front camera resolution [Mpx];108.0;4.622222222222223;81.0
Launched;2018.0;3.853333333333333;60.0
Launched;2019.0;4.892130398671096;4816.0
Launched;2020.0;4.828344427743183;4657.0
Launched;2021.0;4.714576802507837;12122.0
Launched;2022.0;4.701577895187777;14006.0
Launched;2023.0;4.6958879224925685;18166.0
Functions;['FM Radio', 'Charging stand'];;0.0
Functions;['FM Radio', 'Front camera', 'Touch screen', 'WiFi', 'Bluetooth', 'NFC', 'OTG', 'Galileo'];;0.0
Functions;['FM Radio', 'MMS support'];4.172309417040359;892.0
Functions;['FM Radio', 'OTG'];4.2;22.0
Functions;['FM Radio'];4.092727272727273;440.0
Functions;['Face Unlock', 'FM Radio', 'MMS support', 'OTG'];5.0;4.0
Functions;['Face Unlock', 'FM Radio', 'MMS support'];4.337704918032787;61.0
Functions;['Face Unlock', 'FM Radio'];4.3;40.0
Functions;['Face Unlock', 'MMS support'];4.403846153846154;52.0
Functions;['Face Unlock', 'Notification diode', 'FM Radio', 'MMS support', 'OTG'];3.5;8.0
