id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Display technology;Screen fineness [PPI];Computer memory (RAM) size [GB];Storage Capacity [GB];Memory card type;Max. memory card size [GB];Wireless technology;Tablet connectors;Sensors;Main (rear) camera resolution [Mpx];Front-facing (selfie) camera resolution [Mpx];Maximum video resolution;Supported resolutions and frame rates (FPS);Camera functions;Battery capacity [mAh];Charging performance [W];Number of processor cores;Processor frequency [GHz];Processor model;Functions;Operating system;Operating system version;Height [mm];Width [mm];Depth [mm];Weight [kg];Colour;Package includes;Series;Country;Storage capacity [GB];Main rear camera aperture [f/];Front Camera Aperture [f/];Degree of protection;Graphics chip;Supported cellular networks;Primary SIM card type;Secondary SIM Card Type;Special event;Supported formats;User interface language;Equipment;Internal memory [GB];Suitable for;Usage;Must additionally purchase AA batteries;Battery type
0;Samsung Galaxy Tab S6 Lite WiFi Grey 2022;6990;5777;4.7;27.0;In stock;10.4;2000 × 1200 px;['TFT'];224.0;4.0;64.0;['Micro SD'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Gyroscope'];8.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];7.04;15.0;8.0;2.3;Snapdragon 720G;['Quick charging'];['Google Android'];Android 12;244.5;154.3;7.0;0.465;['Grey'];['Charger (adapter with cable)'];Samsung Galaxy Tab S;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;;;;;;;
1;iPad Air M1 64GB WiFi Space Grey 2022;17990;14868;5.0;38.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;8.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;;;Apple M1 with 8-core GPU;['Quick charge'];['iPadOS'];;247.6;178.5;6.1;0.458;['Grey'];['Charger (adapter with cable)'];Apple iPad;;64.0;1.8;2.4;;;;;;;;;;;;;;
2;iPad Air M1 256GB WiFi Pink 2022;22490;18587;4.7;12.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;8.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];7667.560321715818;20.0;;;Apple M1 with 8-core GPU;['Quick charge'];['iPadOS'];;247.6;178.5;6.1;0.458;['Pink'];['Charger (adapter with cable)'];Apple iPad;;256.0;1.8;2.4;;;;;;;;;;;;;;
3;"iPad Pro 12.9"" 256GB M2 Space Grey 2022";35990;29744;5.0;5.0;In stock > 5 pcs;12.9;2732 × 2048 px;['IPS'];264.0;;;['Does not support'];;['NFC', 'WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;8.0;;Apple M2 with 10-core GPU;['Quick charge'];['iPadOS'];;214.9;280.6;6.4;0.682;['Grey'];['Charger (adapter with cable)'];Apple iPad;;256.0;1.8;2.4;;;;;;;;;;;;;;
4;UleFone Armor Pad Lite 6GB/32GB černý;3699;3057;;;In stock > 5 pcs;8.0;1280 × 800 px;['IPS'];188.0;6.0;32.0;;;['NFC', 'WiFi', 'Bluetooth', 'GPS', 'GLONASS'];['USB-C', 'Headphone output (3.5mm jack)'];['Fingerprint reader'];13.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps'];['Flash function'];7.65;;4.0;2.0;MediaTek MT8766;['Water-resistant'];['Google Android'];Android 13;213.0;128.8;14.0;0.558;['Black'];['Charger (adapter with cable)'];;;;;2.0;['IP68', 'IP69K'];;;;;;;;;;;;;
5;iPad 10.2 64GB WiFi Space Grey 2021;8990;7430;4.9;142.0;In stock > 5 pcs;10.2;2160 × 1620 px;['IPS'];264.0;3.0;64.0;;;['WiFi', 'Bluetooth'];['Lightning', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope'];8.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A13 Bionic;;['iPadOS'];;174.1;250.6;7.5;0.49;['Grey'];['Charger (adapter with cable)'];Apple iPad;;;2.4;2.4;;;;;;;;;;;;;;
6;iPad 10.2 64GB WiFi Silver 2021;8990;7430;4.9;62.0;In stock > 5 pcs;10.2;2160 × 1620 px;['IPS'];264.0;;64.0;;;['WiFi', 'Bluetooth'];['Lightning', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope'];8.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A13 Bionic;;['iPadOS'];;174.1;250.6;7.5;0.49;['Silver'];['Charger (adapter with cable)'];Apple iPad;;;2.4;2.4;;;;;;;;;;;;;;
7;Xiaomi Pad 6 6GB/128GB Gravity Gray;7990;6603;4.8;70.0;In stock;11.0;;['IPS'];309.0;6.0;;;;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope'];13.0;8.0;1800 × 2880 px;['2160p (4K) 30fps', '1080p (Full HD) 60fps'];;8840.0;33.0;8.0;;Qualcomm Snapdragon 870;['Quick charge'];['Google Android'];Android 13;254.0;165.2;6.5;0.49;['Grey'];['Charger (adapter with cable)'];;;128.0;2.2;2.2;;Adreno 650;;;;;;;;;;;;
8;HONOR Pad X8 4GB/64GB modrý;3390;2802;4.9;13.0;In stock;10.1;1920 × 1200 px;['IPS'];224.0;4.0;64.0;['Micro SD'];512.0;['WiFi', 'Bluetooth'];['USB-C'];['Light sensor', 'G-sensor'];5.0;2.0;1920 × 1080 px;;;5.1;;8.0;2.2;MediaTek MT8786;['OTG'];['Google Android'];Android 12;240.2;159.0;7.55;0.46;['Blue'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.2;2.4;;Mali-G52;;;;;;;;;;;;
9;"iPad 10.9"" 64GB WiFi Silver 2022";12990;10736;4.7;20.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;4.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope'];12.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A14 Bionic;;['iPadOS'];;248.6;179.5;7.0;0.477;['Silver'];['Charger (adapter with cable)'];Apple iPad;;64.0;2.4;2.4;;;;;;;;;;;;;;
10;iPad Air M1 64GB WiFi Blue 2022;16990;14041;4.9;36.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;8.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;;;Apple M1 with 8-core GPU;['Quick charge'];['iPadOS'];;247.6;178.5;6.1;0.458;['Blue'];['Charger (adapter with cable)'];Apple iPad;;64.0;1.8;2.4;;;;;;;;;;;;;;
11;Lenovo Tab M10 (3rd) 4GB + 64GB Storm Grey;3490;2884;4.7;31.0;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];;4.0;64.0;['Micro SD', 'Micro SDXC', 'Micro SDHC'];2.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Light sensor', 'Proximity sensor', 'G-sensor'];8.0;5.0;;;;5.1;;8.0;1.8;T610;['OTG'];['Google Android'];Android 12;239.84;158.62;8.5;0.46;['Grey'];['Charger (adapter with cable)'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;ARM Mali-G52;;;;;;;;;;;;
12;Oscal Pad 13 8GB/256GB gray;4069;3363;4.6;15.0;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];224.0;8.0;256.0;['Micro SD', 'Micro SDXC', 'Micro SDHC', 'TF Card'];1.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['G-sensor'];13.0;8.0;1920 × 1080 px;['1080p (Full HD) 60fps'];['Flash function'];7.68;;8.0;1.6;Unisoc UMS9230;['OTG'];['Google Android'];Android 12;157.95;239.2;7.6;0.435;['Grey'];['Charger (adapter with cable)', 'Case', 'Screen Protector', 'Stylus'];;;;2.2;2.2;;Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
13;Samsung Galaxy Tab A8 WiFi Grey;5490;4537;4.8;76.0;In stock > 5 pcs;10.5;1920 × 1200 px;['TFT'];216.0;4.0;;['Micro SD'];;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];8.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];7040.0;15.0;8.0;2.0;Unisoc Tiger T618;['Quick charge'];['Google Android'];Android 11;246.8;161.9;6.9;0.508;['Grey'];['Charger (adapter with cable)'];Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];64.0;;;;Mali G52;;;;;;;;;;;;
14;"iPad Pro 11"" 128GB M2 Space Grey 2022";24490;20240;5.0;21.0;In stock > 5 pcs;11.0;2388 × 1668 px;['IPS'];264.0;;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];12.0;12.0;;;;;;;;Apple M2 with 10-core GPU;;['iPadOS'];;247.6;178.5;5.9;0.468;['Grey'];;Apple iPad;;128.0;;;;;;;;;;;;;;;;
15;Oscal Pad10 8GB/128GB gray;3590;2967;4.9;13.0;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];225.0;8.0;128.0;['Micro SD', 'TF Card'];1.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Light sensor', 'Proximity sensor'];13.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];6.58;;8.0;1.6;Unisoc UMS9230;;['Google Android'];Android 12;241.3;160.0;8.9;0.536;['Grey'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.2;2.0;;ARM Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;Digital student SK;;;;;;;;
16;iPad Air M1 64GB WiFi Starlight 2022;17990;14868;4.8;22.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;8.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;;;Apple M1 with 8-core GPU;['Quick charge'];['iPadOS'];;247.6;178.5;6.1;0.458;['White'];['Charger (adapter with cable)'];Apple iPad;;64.0;1.8;2.4;;;;;;;;;;;;;;
17;"iPad 10.9"" 64GB WiFi Blue 2022";12990;10736;4.8;33.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope'];12.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A14 Bionic;;['iPadOS'];;248.6;179.5;7.0;0.477;['Blue'];['Charger (adapter with cable)'];Apple iPad;;64.0;2.4;2.4;;;;;;;;;;;;;;
18;Lenovo Tab M10 Plus (3rd Gen) 2023 4 GB + 64 GB Storm Grey;4190;3463;4.5;10.0;In stock > 5 pcs;10.61;2000 × 1200 px;['IPS'];;4.0;64.0;['Micro SD'];1.0;['WiFi', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Gyroscope', 'Light sensor', 'G-sensor'];8.0;8.0;;;;7.7;10.0;8.0;2.4;Qualcomm Snapdragon SDM680;['Quick charging'];['Google Android'];Android 13;7.45;251.2;158.8;0.465;['Black'];['Charger (adapter with cable)'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.2;2.0;;Adreno 610;;;;;;;;;;;;
19;Lenovo Tab P12 8GB + 128GB Storm Grey + Lenovo Active Stylus;9990;8256;4.5;11.0;In stock > 5 pcs;12.7;2944 × 1840 px;['LTPS'];273.0;8.0;128.0;['Micro SD'];1.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Digital compass', 'Light sensor', 'G-sensor', 'Fingerprint reader'];13.0;8.0;;;;10.2;30.0;8.0;2.6;MediaTek Dimensity 7050;['Quick charging', 'Gorilla Glass'];['Google Android'];Android 13;190.76;293.37;6.9;0.63;['Grey'];['Charger (adapter with cable)', 'Stylus'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;2.2;;ARM Mali G68 MP5;;;;;;;;;;;;
20;"iPad Pro 11"" 256GB M2 Space Grey 2022";26990;22306;4.9;11.0;In stock > 5 pcs;11.0;2388 × 1668 px;['IPS'];264.0;;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];12.0;12.0;;;;;;;;Apple M2 with 10-core GPU;;['iPadOS'];;247.6;178.5;5.9;0.468;['Grey'];;Apple iPad;;256.0;;;;;;;;;;;;;;;;
21;Umidigi G2 Tab Kids 4GB/64GB růžový;2399;1983;4.0;1.0;In stock;10.1;1280 × 800 px;['TFT'];;4.0;64.0;['Micro SDXC'];1.024;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'G-sensor'];8.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps', '480p (VGA)'];['Flash function'];6.0;10.0;4.0;2.0;Rockchip RK3562;['OTG', 'Quick charging'];['Google Android'];Android 13;190.5;273.5;29.5;0.805;['Pink'];['Charger (adapter with cable)', 'Case', 'Screen Protector'];;;;2.2;2.2;;ARM Mali-G52;;;;;;;;;;;;
22;Umidigi G2 Tab Kids 4GB/64GB zelený;2399;1983;4.5;4.0;In stock;10.1;1280 × 800 px;['TFT'];;4.0;64.0;['Micro SDXC'];1.024;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'G-sensor'];8.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps', '480p (VGA)'];['Flash function'];6.0;10.0;4.0;2.0;Rockchip RK3562;['OTG', 'Quick charging'];['Google Android'];Android 13;190.5;273.5;29.5;0.805;['Green'];['Charger (adapter with cable)', 'Case', 'Screen Protector'];;;;2.2;2.2;;ARM Mali-G52;;;;;;;;;;;;
23;iPad 10.2 256GB WiFi Space Grey 2021;13390;11066;4.9;39.0;In stock > 5 pcs;10.2;2160 × 1620 px;['IPS'];264.0;3.0;256.0;;;['WiFi', 'Bluetooth'];['Lightning', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope'];8.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A13 Bionic;;['iPadOS'];;174.1;250.6;7.5;0.49;['Grey'];['Charger (adapter with cable)'];Apple iPad;;;2.4;2.4;;;;;;;;;;;;;;
24;Samsung Galaxy TAB A7 Lite WiFi Grey;3290;2719;4.7;63.0;In stock > 5 pcs;8.7;1340 × 800 px;['TFT'];179.0;3.0;;['Micro SD'];1024.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Digital compass', 'Gyroscope', 'Light sensor'];8.0;2.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];5100.0;15.0;8.0;2.3;MediaTek MTK8768T;['Quick charge'];['Google Android'];Android 11;8.0;212.5;124.7;0.366;['Grey'];['Charger (adapter with cable)'];Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];32.0;;;;IMG GE8320;;;;;;;;;;;;
25;iPad 10.2 256GB WiFi Silver 2021;13290;10983;4.9;15.0;In stock > 5 pcs;10.2;2160 × 1620 px;['IPS'];264.0;3.0;256.0;;;['WiFi', 'Bluetooth'];['Lightning', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope'];8.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A13 Bionic;;['iPadOS'];;174.1;250.6;7.5;0.49;['Silver'];['Charger (adapter with cable)'];Apple iPad;;;2.4;2.4;;;;;;;;;;;;;;
26;HONOR Pad X9 4GB/128GB grey;4290;3545;4.7;12.0;In stock;11.5;2000 × 1200 px;['TFT'];203.0;4.0;128.0;['SD'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Light sensor'];5.0;5.0;1920 × 1080 px;['1080p (Full HD) 30fps'];;7.25;22.5;8.0;2.8;Qualcomm Snapdragon 685;['OTG', 'Quick charging'];['Google Android'];Android 13;267.3;167.36;6.9;0.495;['Grey'];['Charging cable'];;;;2.2;2.2;;Adreno 610;;;;;;;;;;;;
27;iPad Air M1 256GB WiFi Blue 2022;22490;18587;5.0;10.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;8.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];7667.560321715818;20.0;;;Apple M1 with 8-core GPU;['Quick charge'];['iPadOS'];;247.6;178.5;6.1;0.458;['Blue'];['Charger (adapter with cable)'];Apple iPad;;256.0;1.8;2.4;;;;;;;;;;;;;;
28;Oscal Pad 60 3GB/64GB gray;1829;1512;3.9;18.0;In stock > 5 pcs;10.1;1280 × 800 px;['IPS'];149.0;3.0;64.0;['Micro SD', 'Micro SDXC', 'Micro SDHC', 'TF Card'];1.0;['WiFi', 'Bluetooth'];['USB-C'];['G-sensor'];5.0;2.0;1920 × 1080 px;['1080p (Full HD) 60fps'];['Flash function'];6.58;;4.0;1.5;Rockchip 3326;['OTG'];['Google Android'];Android 12;163.0;246.5;9.9;0.537;['Grey'];['Charger (adapter with cable)', 'Case', 'Screen Protector'];;;;2.0;2.8;;Mali G31;;;;;;;;;;;;
29;"iPad 10.9"" 256GB WiFi Blue 2022";17490;14455;5.0;9.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope'];12.0;12.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 120fps'];['Flash function'];;;;;Apple A14 Bionic;;['iPadOS'];;248.6;179.5;7.0;0.477;['Blue'];['Charger (adapter with cable)'];Apple iPad;;256.0;2.4;2.4;;;;;;;;;;;;;;
30;Lenovo Tab M10 Plus (3rd Gen) 128GB + 4GB Storm Grey LTE + Folio Case + Lenovo Active Stylus;6999;5784;4.7;20.0;In stock > 5 pcs;10.61;2000 × 1200 px;['IPS'];;4.0;128.0;['Micro SD'];1.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C'];['Gyroscope', 'Light sensor', 'G-sensor'];8.0;8.0;;;;7.7;10.0;8.0;2.4;Qualcomm Snapdragon SDM680;['Quick charging'];['Google Android'];Android 13;7.45;251.2;158.8;0.465;['Grey'];['Charger (adapter with cable)', 'Case', 'Stylus'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Adreno 610;['4G/LTE', '3G'];Nano SIM;;Digital student SK;;;;;;;;
31;"iPad Pro 11"" 128GB M2 Silver 2022";24490;20240;5.0;11.0;In stock > 5 pcs;11.0;2388 × 1668 px;['IPS'];264.0;8.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor'];12.0;12.0;;;['Swivel Camera'];;;;;Apple M2 with 10-core GPU;;['iPadOS'];;247.6;178.5;5.9;0.468;['Silver'];;Apple iPad;;128.0;;;;;;;;;;;;;;;;
32;iPad Air M1 256GB WiFi Starlight 2022;22490;18587;4.7;7.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;8.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];7667.560321715818;20.0;;;Apple M1 with 8-core GPU;['Quick charge'];['iPadOS'];;247.6;178.5;6.1;0.458;['White'];['Charger (adapter with cable)'];Apple iPad;;256.0;1.8;2.4;;;;;;;;;;;;;;
33;Lenovo Tab P11 (2nd Gen) 4 GB + 128 GB Storm Grey;5990;4950;3.0;2.0;In stock > 5 pcs;11.5;2000 × 1200 px;['IPS'];;4.0;128.0;['Micro SD'];1.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Gyroscope', 'Light sensor', 'Proximity sensor', 'G-sensor'];13.0;8.0;;;['Flash function'];7.7;20.0;8.0;2.2;MediaTek Helio G99;['OTG', 'Quick charging', 'Gorilla Glass'];['Google Android'];Android 12;7.4;269.1;169.4;0.52;['Black'];['Charger (adapter with cable)', 'Charging stand'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.4;2.0;['IP52'];Mali-G57;;;;;;;;;;;;
34;Lenovo Tab P11 (2nd Gen) 4GB + 128GB Storm Grey;5890;4868;4.8;6.0;In stock > 5 pcs;11.5;2000 × 1200 px;['IPS'];;4.0;128.0;['Micro SD'];1.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'Proximity sensor', 'G-sensor'];13.0;8.0;1920 × 1080 px;;['Flash function'];7.7;20.0;8.0;2.2;MediaTek Helio G99;['OTG', 'Quick charging', 'Gorilla Glass'];['Google Android'];Android 12;7.4;269.1;169.4;0.52;['Grey'];['Charger (adapter with cable)'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.4;2.0;['IP52'];Mali-G57;;;;;;;;;;;;
35;Lenovo Tab M9 4GB + 64GB Arctic Grey + case and foil;3499;2892;4.4;29.0;In stock > 5 pcs;9.0;1340 × 800 px;['IPS'];;4.0;64.0;['Micro SD'];2.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'G-sensor'];8.0;2.0;;;;5.1;10.0;8.0;2.0;MediaTek Helio G80;['Quick charging'];['Google Android'];Android 12;7.99;215.43;136.76;0.344;['Grey'];['Charging cable', 'Case', 'Screen Protector'];Lenovo Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.2;2.2;;Mali-G52;;;;;;;;;;;;
36;iPad Air M1 256GB WiFi Space Grey 2022;22490;18587;4.7;10.0;In stock > 5 pcs;10.9;2360 × 1640 px;['IPS'];264.0;8.0;;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Barometer'];12.0;12.0;3840 × 2160 px;['4320p (8K) 30fps', '2160p (4K) 60fps', '2160p (4K) 24fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps'];['Flash function'];;20.0;;;Apple M1 with 8-core GPU;['Quick charge'];['iPadOS'];;247.6;178.5;6.1;0.458;['Grey'];['Charger (adapter with cable)'];Apple iPad;;256.0;1.8;2.4;;;;;;;;;;;;;;
37;Umidigi G1 Tab Kids 4GB/64GB modrý;1999;1652;3.7;3.0;In stock;10.1;1280 × 800 px;['IPS'];149.0;4.0;64.0;['Micro SD', 'TF Card'];1.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Light sensor'];8.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps'];['Flash function'];6.0;10.0;4.0;2.0;Cortex A53;['OTG', 'Quick charging'];['Google Android'];Android 13;273.5;190.5;29.5;0.805;['Blue'];['Charger (adapter with cable)', 'Case', 'Screen Protector'];;;;2.2;;;ARM Mali-G52;;;;;;;;;;;;
38;Samsung Galaxy Tab S9 Wifi 12GB/256GB grafitová;23999;19834;5.0;5.0;In stock > 5 pcs;11.0;2560 × 1600 px;['AMOLED'];275.0;12.0;;['Micro SD'];1024.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Digital compass', 'Gyroscope', 'Light sensor', 'Fingerprint reader'];13.0;12.0;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 30fps'];['Optical zoom', 'Flash function'];8400.0;45.0;8.0;2.8;Qualcomm Snapdragon 8 Gen 2;['Quick charge', 'Water-resistant'];['Google Android'];Android 13;;1658.0;;;;['Charging cable', 'Stylus'];Samsung Galaxy Tab;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];256.0;2.0;2.4;;Adreno 740;;;;;;;;;;;;
