id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Resolution;Display technology;Screen fineness [PPI];Computer memory (RAM) size [GB];Storage Capacity [GB];Memory card type;Max. memory card size [GB];Wireless technology;Tablet connectors;Sensors;Main (rear) camera resolution [Mpx];Front-facing (selfie) camera resolution [Mpx];Maximum video resolution;Supported resolutions and frame rates (FPS);Camera functions;Battery capacity [mAh];Charging performance [W];Number of processor cores;Processor frequency [GHz];Processor model;Functions;Operating system;Operating system version;Height [mm];Width [mm];Depth [mm];Weight [kg];Colour;Package includes;Series;Country;Storage capacity [GB];Main rear camera aperture [f/];Front Camera Aperture [f/];Degree of protection;Graphics chip;Supported cellular networks;Primary SIM card type;Secondary SIM Card Type;Special event;Supported formats;User interface language;Equipment;Internal memory [GB];Suitable for;Usage;Must additionally purchase AA batteries;Battery type
105;iPad mini 64GB Pink 2021;14790;12223;5.0;3.0;In stock > 5 pcs;8.3;2266 × 1488 px;['IPS'];326.0;;64.0;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps', '720p (HD) 30fps'];['Flash function'];5.124;;;;Apple A15 Bionic;;['iPadOS'];;195.4;134.8;6.3;0.293;['Pink'];['Charger (adapter with cable)'];;;;1.8;2.4;;;;;;;;;;;;;;
106;Samsung Galaxy Tab S9 FE+ 12GB/256GB zelená;19490;16107;5.0;1.0;In stock > 5 pcs;12.4;2560 × 1600 px;['TFT'];244.0;12.0;;['Micro SD'];1000.0;['NFC', 'WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Motion sensor', 'Gyroscope', 'Light sensor', 'G-sensor', 'Fingerprint reader'];8.0;12.0;3840 × 2160 px;['2160p (4K) 30fps'];;10090.0;45.0;8.0;2.4;Exynos1380;['OTG', 'Quick charge', 'Gorilla Glass', 'Water-resistant'];['Google Android'];Android 13;185.4;285.4;6.5;0.627;['Green'];;Samsung Galaxy Tab;;256.0;1.9;2.4;['IP68'];ARM Mali G68 MP5;;;;;;;;;;;;
107;iPad mini 256GB Purple 2021;19090;15777;5.0;1.0;In stock 3 pcs;8.3;2266 × 1488 px;['IPS'];326.0;;256.0;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps', '720p (HD) 30fps'];['Flash function'];5.124;;;;Apple A15 Bionic;;['iPadOS'];;195.4;134.8;6.3;0.293;['Violet'];['Charger (adapter with cable)'];;;;1.8;2.4;;;;;;;;;;;;;;
108;iPad mini 256GB Cellular Space Grey 2021;23790;19661;4.0;3.0;In stock > 5 pcs;8.3;2266 × 1488 px;['IPS'];326.0;4.0;256.0;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps', '720p (HD) 30fps'];['Flash function'];5.124;;;;Apple A15 Bionic;;['iPadOS'];;195.4;134.8;6.3;0.293;['Grey'];['Charger (adapter with cable)'];;;;1.8;2.4;;;['5G', '4G/LTE', '3G'];;eSIM;;;;;;;;;
109;Alcatel 1T 10 SMART 8092 + Keyboard;3289;2718;3.4;12.0;In stock > 5 pcs;10.0;1280 × 800 px;['TFT'];;2.0;32.0;['Micro SD'];128.0;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope'];2.0;2.0;;;;4.08;;4.0;1.3;MT8167B;;['Google Android'];Android 10;162.2;243.2;9.55;0.45;['Black'];['Charger (adapter with cable)', 'Case', 'Detachable keyboard'];Alcatel 1T;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;2.4;2.4;['IP54'];IMG GE8300;;;;;;;;;;;;
110;iGET SMART L206 LTE 4GB/128GB blue;3639;3007;4.2;37.0;In stock > 5 pcs;10.36;2000 × 1200 px;['IPS'];;4.0;128.0;['Micro SD'];128.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Digital compass', 'Gyroscope'];5.0;2.0;;;;5.0;;8.0;1.8;T610;['OTG'];['Google Android'];Android 11;162.4;243.6;8.5;0.429;['Blue'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Mali-G52;['4G/LTE', '3G'];Nano SIM;;Digital student SK;;;;;;;;
111;Doogee T20 mini LTE 4GB/128GB černý;3389;2801;3.0;1.0;In stock > 5 pcs;8.4;1920 × 1200 px;['IPS'];269.0;4.0;;['Micro SDXC'];1000.0;['WiFi', 'Bluetooth', 'GPS', 'A-GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Digital compass', 'Gyroscope'];13.0;5.0;1920 × 1080 px;['1080p (Full HD) 60fps'];['Flash function'];5060.0;10.0;8.0;1.6;Unisoc T606;['Quick charge'];['Google Android'];Android 13;202.5;125.8;7.4;0.33;['Black'];['Charger (adapter with cable)'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];128.0;;;;ARM Mali-G57;['4G/LTE', '3G'];Nano SIM;Nano SIM;;;;;;;;;
112;iPad mini 256GB Starlight White 2021;19090;15777;4.8;4.0;In stock 2 pcs;8.3;2266 × 1488 px;['IPS'];326.0;;256.0;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps', '720p (HD) 30fps'];['Flash function'];5.124;;;;Apple A15 Bionic;;['iPadOS'];;195.4;134.8;6.3;0.293;['White'];['Charger (adapter with cable)'];;;;1.8;2.4;;;;;;;;;;;;;;
113;iGET Blackview TAB G5 Kids 3GB/64GB Blue;2169;1793;3.0;3.0;In stock > 5 pcs;8.0;1200 × 800 px;['IPS'];189.0;3.0;;['Micro SDXC'];1024.0;['WiFi', 'Bluetooth'];['USB-C', 'Headphone output (3.5mm jack)'];['Light sensor', 'G-sensor'];2.0;0.3;640 × 480 px;['480p (VGA)', '240p (QVGA)'];['Flash function'];5580.0;5.0;4.0;1.5;;['OTG'];['Google Android'];Android 12;245.0;168.0;5.0;0.35;['Blue'];['Charger (adapter with cable)', 'Charging cable', 'Case'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];64.0;2.8;2.8;;;;;;;;;;;;;;
114;iGET SMART W32 Wifi 4GB/128GB modrý + iPEN 2;3199;2644;3.0;2.0;In stock > 5 pcs;10.1;1920 × 1200 px;['IPS'];;4.0;128.0;['SDHC'];256.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['G-sensor'];5.0;2.0;1080 × 540 px;;;6.0;10.0;8.0;1.6;UNISOC SC9863;['OTG', 'Quick charging'];['Google Android'];Android 13;160.1;241.2;8.3;0.55;['Blue'];['Charger (adapter with cable)', 'Charging cable', 'Stylus'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;IMG GE8322;;;;;;;;;;;;
115;UMAX VisionBook 11T LTE Pro 6GB/128GB šedý;3939;3255;3.0;1.0;In stock > 5 pcs;10.95;2000 × 1200 px;['IPS'];;6.0;128.0;['Micro SD'];128.0;['WiFi', 'Bluetooth', 'GPS'];['USB-C'];['Gyroscope'];8.0;5.0;1920 × 1080 px;;['Flash function'];8.0;15.0;8.0;1.6;;['Quick charging'];['Google Android'];Android 12;165.0;255.0;7.0;0.5;['Grey'];['Charger (adapter with cable)'];UMAX Visionbook;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;Mali-G57;['4G/LTE'];Micro SIM;;Digital student SK;;;;;;;;
116;UMIDIGI A13 Tab 8GB/128GB Grey Black;4399;3636;4.0;14.0;In stock > 5 pcs;10.51;1920 × 1200 px;['IPS'];360.0;8.0;128.0;['Micro SD'];1.024;['WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Digital compass', 'Light sensor', 'G-sensor'];13.0;8.0;1920 × 1080 px;['1080p (Full HD) 30fps', '720p (HD) 30fps'];['Flash function'];7.5;18.0;8.0;2.0;T616;['Quick charging'];['Google Android'];Android 13;161.3;246.2;7.4;0.513;['Black'];['Charger (adapter with cable)'];;;;;;;;['4G/LTE'];;;Digital student SK;;;;;;;;
117;iPad mini 256GB Cellular Starlight White 2021;22990;19000;5.0;3.0;In stock 3 pcs;8.3;2266 × 1488 px;['IPS'];326.0;4.0;256.0;['Does not support'];;['WiFi', 'Bluetooth'];['USB-C'];['Gyroscope', 'Light sensor', 'Barometer'];12.0;;3840 × 2160 px;['2160p (4K) 60fps', '2160p (4K) 30fps', '1080p (Full HD) 60fps', '1080p (Full HD) 30fps', '1080p (Full HD) 120fps', '1080p (Full HD) 240fps', '720p (HD) 30fps'];['Flash function'];5.124;;;;Apple A15 Bionic;;['iPadOS'];;195.4;134.8;6.3;0.293;['Gold'];['Charger (adapter with cable)'];;;;1.8;2.4;;;['5G', '4G/LTE', '3G'];;eSIM;;;;;;;;;
118;Samsung Galaxy Tab Active 4 Pro 5G;21590;17843;3.0;1.0;In stock > 5 pcs;10.1;1920 × 1200 px;['TFT'];;6.0;128.0;['Micro SD'];1.024;['NFC', 'WiFi', 'Bluetooth', 'GPS'];['USB-C', 'Headphone output (3.5mm jack)'];['Motion sensor', 'Gyroscope', 'Light sensor', 'Proximity sensor', 'Fingerprint reader'];13.0;8.0;;;['Flash function'];7.6;;8.0;2.4;Qualcomm Snapdragon 778G;['OTG', 'Image transmission to TV', 'Water-resistant'];['Google Android'];Android 12;10.2;242.9;170.2;0.674;['Black'];['Charger (adapter with cable)', 'Case', 'Stylus'];Samsung Galaxy Tab;;;1.9;2.0;['IP68'];;['5G', '4G/LTE', '3G'];;;Digital student SK;;;;;;;;
