attribute;value;rating;rating_count
Battery capacity [Wh];;5.0;7.0
Battery capacity [Wh];;5.0;4.0
Battery capacity [Wh];;5.0;1.0
Battery capacity [Wh];;4.0;4.0
Battery capacity [Wh];;3.0;2.0
Battery capacity [Wh];;5.0;1.0
Battery capacity [Wh];;5.0;1.0
Battery capacity [Wh];;4.0;1.0
Battery capacity [Wh];;4.8;15.0
Battery capacity [Wh];;5.0;1.0
Battery capacity [Wh];;3.0;2.0
Battery capacity [Wh];;4.7;3.0
Battery capacity [Wh];;5.0;1.0
Battery capacity [Wh];;5.0;1.0
Battery capacity [Wh];;4.5;4.0
Battery capacity [Wh];;3.2999999999999994;6.0
Battery capacity [Wh];;5.0;1.0
Battery capacity [Wh];;1.0;1.0
Battery capacity [Wh];;4.3;3.0
Battery capacity [Wh];;4.5;4.0
Battery capacity [Wh];;5.0;1.0
Bluetooth;Bluetooth v4.0;3.0;2.0
Bluetooth;Bluetooth v4.1;4.257575757575758;66.0
Bluetooth;Bluetooth v4.2;4.330939226519337;181.0
Bluetooth;Bluetooth v5.0;4.750619699934767;1533.0
Bluetooth;Bluetooth v5.1;4.468971061093249;622.0
Bluetooth;Bluetooth v5.2;4.303096539162114;549.0
Bluetooth;Bluetooth v5.3;4.538674033149171;181.0
Bluetooth;;4.306779661016949;59.0
Boost clock [MHz];0.0;4.15;28.0
Boost clock [MHz];1.058;5.0;1.0
Boost clock [MHz];1.15;5.0;1.0
Boost clock [MHz];1.3;3.5;2.0
Boost clock [MHz];1.345;5.0;2.0
Boost clock [MHz];1.41;5.0;1.0
Boost clock [MHz];1.452;3.2999999999999994;3.0
Boost clock [MHz];1.47;2.3333333333333335;3.0
Boost clock [MHz];1.477;4.333333333333333;3.0
Boost clock [MHz];1.485;4.533333333333334;12.0
Boost clock [MHz];1.492;4.0;1.0
Boost clock [MHz];1.5;4.220000000000001;5.0
Boost clock [MHz];1.525;4.0;1.0
Boost clock [MHz];1.56;3.5;4.0
Boost clock [MHz];1.585;5.0;6.0
Boost clock [MHz];1.6;5.0;1.0
Boost clock [MHz];1.62;4.5249999999999995;24.0
Boost clock [MHz];1.625;4.7239130434782615;46.0
Boost clock [MHz];1.656;5.0;2.0
Boost clock [MHz];1.681;4.666666666666667;3.0
Boost clock [MHz];1.687;5.0;2.0
Boost clock [MHz];1.695;4.5;2.0
Boost clock [MHz];1.702;4.355555555555556;9.0
Boost clock [MHz];1.72;5.0;3.0
Boost clock [MHz];1.732;5.0;1.0
Boost clock [MHz];1.74;4.545454545454546;22.0
Boost clock [MHz];1.752;4.3500000000000005;6.0
Boost clock [MHz];1.79;4.4;9.0
Boost clock [MHz];1.81;5.0;2.0
Boost clock [MHz];1.98;5.0;2.0
Boost clock [MHz];2.01;4.3;17.0
Boost clock [MHz];2.03;5.0;4.0
Boost clock [MHz];2.04;5.0;3.0
Boost clock [MHz];2.08;5.0;2.0
Boost clock [MHz];2.09;3.44;10.0
Boost clock [MHz];2.175;4.928571428571429;14.0
Boost clock [MHz];2.225;4.819999999999999;10.0
Boost clock [MHz];2.25;4.9;19.0
Boost clock [MHz];2.28;4.375;8.0
Boost clock [MHz];2.3;4.8;5.0
Boost clock [MHz];2.35;4.428571428571429;7.0
Boost clock [MHz];2.37;4.672727272727273;88.0
Boost clock [MHz];2.405;5.0;1.0
Boost clock [MHz];2.42;4.616666666666666;30.0
Boost clock [MHz];2.455;4.7;10.0
Boost clock [MHz];2.505;4.0;2.0
Boost clock [MHz];1057.5;4.927272727272728;11.0
Boost clock [MHz];1107.5;5.0;4.0
Boost clock [MHz];1150.0;5.0;1.0
Boost clock [MHz];2080.0;5.0;1.0
Boost clock [MHz];;4.7;7.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.9;153.0
Boost clock [MHz];;4.8;4.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;3.8;5.0
Boost clock [MHz];;4.8;4.0
Boost clock [MHz];;4.5;7.0
Boost clock [MHz];;3.8;8.0
Boost clock [MHz];;5.0;6.0
Boost clock [MHz];;4.6;16.0
Boost clock [MHz];;4.7;7.0
Boost clock [MHz];;3.1;7.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.1;9.0
Boost clock [MHz];;4.4;5.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.8;13.0
Boost clock [MHz];;4.9;48.0
Boost clock [MHz];;4.9;8.0
Boost clock [MHz];;4.5;6.0
Boost clock [MHz];;4.0;3.0
Boost clock [MHz];;4.8;4.0
Boost clock [MHz];;4.8;48.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;5.0;4.0
Boost clock [MHz];;4.5;4.0
Boost clock [MHz];;4.4;3.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;3.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.8;11.0
Boost clock [MHz];;4.7;10.0
Boost clock [MHz];;4.8;6.0
Boost clock [MHz];;3.5;2.0
Boost clock [MHz];;4.9;30.0
Boost clock [MHz];;4.5;9.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;2.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;4.7;20.0
Boost clock [MHz];;5.0;8.0
Boost clock [MHz];;4.8;8.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;4.0;4.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;3.5;2.0
Boost clock [MHz];;4.0;5.0
Boost clock [MHz];;4.7;3.0
Boost clock [MHz];;4.3;17.0
Boost clock [MHz];;4.8;4.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;4.7;3.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;4.5;7.0
Boost clock [MHz];;4.7;3.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.9;10.0
Boost clock [MHz];;4.4;8.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.9;15.0
Boost clock [MHz];;4.2;29.0
Boost clock [MHz];;4.2;7.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;3.0;1.0
Boost clock [MHz];;4.7;7.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;4.4;6.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.1;11.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;5.0;4.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.5;4.0
Boost clock [MHz];;4.0;4.0
Boost clock [MHz];;4.7;3.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;4.8;6.0
Boost clock [MHz];;3.8;26.0
Boost clock [MHz];;4.8;4.0
Boost clock [MHz];;4.5;6.0
Boost clock [MHz];;4.6;7.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;3.2;5.0
Boost clock [MHz];;4.3;4.0
Boost clock [MHz];;4.0;4.0
Boost clock [MHz];;4.2;8.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;3.2999999999999994;3.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;9.0
Boost clock [MHz];;4.2;15.0
Boost clock [MHz];;3.3;10.0
Boost clock [MHz];;3.2999999999999994;3.0
Boost clock [MHz];;3.8;8.0
Boost clock [MHz];;4.4;10.0
Boost clock [MHz];;3.7000000000000006;3.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;4.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;5.0;21.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;4.3;5.0
Boost clock [MHz];;4.7;3.0
Boost clock [MHz];;3.2999999999999994;3.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.5;8.0
Boost clock [MHz];;4.4;10.0
Boost clock [MHz];;3.7000000000000006;9.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;4.2;7.0
Boost clock [MHz];;3.7000000000000006;3.0
Boost clock [MHz];;5.0;4.0
Boost clock [MHz];;4.8;4.0
Boost clock [MHz];;5.0;7.0
Boost clock [MHz];;4.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;4.7;3.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.3;11.0
Boost clock [MHz];;4.4;5.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;4.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.9;14.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.6;12.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;4.0;3.0
Boost clock [MHz];;3.5;4.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;3.0
Boost clock [MHz];;3.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;4.7;3.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;4.7;3.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;4.7;14.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;4.5;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;4.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;5.0;2.0
Boost clock [MHz];;2.0;1.0
Boost clock [MHz];;4.0;1.0
Boost clock [MHz];;3.0;2.0
Boost clock [MHz];;5.0;1.0
Boost clock [MHz];;1.0;1.0
Boost clock [MHz];;5.0;3.0
Boost clock [MHz];;4.3;3.0
